Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-05-17,Live Cattle Future (front month) (June),LEM2,133.6,133.93,132.82,133.0,11804.0
2022-05-18,Live Cattle Future (front month) (June),LEM2,133.0,133.0,131.3,131.5,14424.0
2022-05-19,Live Cattle Future (front month) (June),LEM2,131.62,132.25,131.2,131.5,10134.0
2022-05-20,Live Cattle Future (front month) (June),LEM2,131.65,132.32,131.3,131.57,8131.0
2022-05-23,Live Cattle Future (front month) (June),LEM2,131.2,132.98,131.2,132.78,7613.0
2022-05-24,Live Cattle Future (front month) (June),LEM2,132.75,133.22,132.57,132.72,8417.0
2022-05-25,Live Cattle Future (front month) (June),LEM2,133.07,133.55,132.02,132.3,9016.0
2022-05-26,Live Cattle Future (front month) (June),LEM2,132.4,132.57,131.95,132.4,5325.0
2022-05-27,Live Cattle Future (front month) (June),LEM2,132.6,132.95,132.05,132.18,8025.0
2022-05-31,Live Cattle Future (front month) (June),LEM2,132.38,133.07,130.22,130.52,11228.0
2022-06-01,Live Cattle Future (front month) (June),LEM2,130.95,132.93,130.93,132.8,12073.0
2022-06-02,Live Cattle Future (front month) (June),LEM2,132.9,133.75,132.22,133.62,8627.0
2022-06-03,Live Cattle Future (front month) (June),LEM2,133.48,133.93,133.2,133.6,6967.0
2022-06-06,Live Cattle Future (front month) (June),LEM2,133.3,134.15,132.78,132.82,4779.0
2022-06-07,Live Cattle Future (front month) (June),LEM2,132.7,134.02,132.68,133.72,2278.0
2022-06-08,Live Cattle Future (front month) (June),LEM2,134.4,136.9,134.3,136.82,3980.0
2022-06-09,Live Cattle Future (front month) (June),LEM2,136.9,137.35,136.5,137.05,2060.0
2022-06-10,Live Cattle Future (front month) (June),LEM2,136.52,136.95,136.0,136.2,2512.0
2022-06-13,Live Cattle Future (front month) (June),LEM2,135.5,135.55,132.5,134.0,2744.0
2022-06-14,Live Cattle Future (front month) (June),LEM2,134.25,135.57,134.02,135.2,2632.0
2022-06-15,Live Cattle Future (front month) (June),LEM2,136.5,138.0,136.5,137.55,2255.0
2022-06-16,Live Cattle Future (front month) (June),LEM2,137.98,138.1,137.25,137.75,1492.0
2022-05-17,Live Cattle Future (second month) (August),LEQ2,134.18,134.4,133.25,133.48,17798.0
2022-05-18,Live Cattle Future (second month) (August),LEQ2,133.48,133.48,131.52,131.7,26658.0
2022-05-19,Live Cattle Future (second month) (August),LEQ2,131.78,132.43,131.6,132.02,20292.0
2022-05-20,Live Cattle Future (second month) (August),LEQ2,132.35,132.72,131.15,131.55,16593.0
2022-05-23,Live Cattle Future (second month) (August),LEQ2,131.0,133.02,131.0,132.98,19889.0
2022-05-24,Live Cattle Future (second month) (August),LEQ2,133.02,133.4,132.5,132.75,18886.0
2022-05-25,Live Cattle Future (second month) (August),LEQ2,133.2,133.57,132.05,132.52,16687.0
2022-05-26,Live Cattle Future (second month) (August),LEQ2,132.62,132.75,132.1,132.6,12390.0
2022-05-27,Live Cattle Future (second month) (August),LEQ2,132.82,133.0,132.1,132.4,17143.0
2022-05-31,Live Cattle Future (second month) (August),LEQ2,132.62,133.38,129.98,130.38,36823.0
2022-06-01,Live Cattle Future (second month) (August),LEQ2,130.82,133.15,130.72,132.9,36780.0
2022-06-02,Live Cattle Future (second month) (August),LEQ2,133.62,134.5,132.6,134.12,24099.0
2022-06-03,Live Cattle Future (second month) (August),LEQ2,134.2,134.57,133.62,133.85,18777.0
2022-06-06,Live Cattle Future (second month) (August),LEQ2,133.9,134.75,132.78,132.9,21544.0
2022-06-07,Live Cattle Future (second month) (August),LEQ2,132.8,134.32,132.7,134.12,20774.0
2022-06-08,Live Cattle Future (second month) (August),LEQ2,134.5,137.9,134.35,137.52,39921.0
2022-06-09,Live Cattle Future (second month) (August),LEQ2,137.7,137.95,137.0,137.2,27344.0
2022-06-10,Live Cattle Future (second month) (August),LEQ2,137.3,137.3,136.02,136.2,21529.0
2022-06-13,Live Cattle Future (second month) (August),LEQ2,135.15,135.48,132.45,133.88,33648.0
2022-06-14,Live Cattle Future (second month) (August),LEQ2,133.88,134.85,133.43,134.07,19249.0
2022-06-15,Live Cattle Future (second month) (August),LEQ2,135.32,137.5,135.25,136.8,28705.0
2022-06-16,Live Cattle Future (second month) (August),LEQ2,136.8,137.05,135.82,136.3,19351.0
2022-05-17,Live Cattle Future (third month) (October),LEV2,140.22,140.28,139.2,139.52,9839.0
2022-05-18,Live Cattle Future (third month) (October),LEV2,139.48,139.5,137.6,137.93,12278.0
2022-05-19,Live Cattle Future (third month) (October),LEV2,138.0,138.5,137.75,138.0,8657.0
2022-05-20,Live Cattle Future (third month) (October),LEV2,138.2,138.6,137.15,137.43,7373.0
2022-05-23,Live Cattle Future (third month) (October),LEV2,136.98,138.43,136.9,138.38,9552.0
2022-05-24,Live Cattle Future (third month) (October),LEV2,138.38,138.85,138.35,138.62,9423.0
2022-05-25,Live Cattle Future (third month) (October),LEV2,138.93,139.18,137.9,138.2,7681.0
2022-05-26,Live Cattle Future (third month) (October),LEV2,138.25,138.3,137.6,138.18,5734.0
2022-05-27,Live Cattle Future (third month) (October),LEV2,138.25,138.6,137.88,138.05,7222.0
2022-05-31,Live Cattle Future (third month) (October),LEV2,138.2,138.88,135.9,136.15,11260.0
2022-06-01,Live Cattle Future (third month) (October),LEV2,136.55,138.18,136.3,137.9,15051.0
2022-06-02,Live Cattle Future (third month) (October),LEV2,138.5,139.95,137.88,139.62,12333.0
2022-06-03,Live Cattle Future (third month) (October),LEV2,139.6,140.1,139.12,139.7,10124.0
2022-06-06,Live Cattle Future (third month) (October),LEV2,139.7,140.55,138.95,139.1,8496.0
2022-06-07,Live Cattle Future (third month) (October),LEV2,139.0,140.3,138.75,140.07,11103.0
2022-06-08,Live Cattle Future (third month) (October),LEV2,140.5,143.0,140.22,142.75,18410.0
2022-06-09,Live Cattle Future (third month) (October),LEV2,142.85,143.25,142.38,142.65,12730.0
2022-06-10,Live Cattle Future (third month) (October),LEV2,142.75,142.75,141.78,141.98,9095.0
2022-06-13,Live Cattle Future (third month) (October),LEV2,141.22,141.32,138.52,139.93,13268.0
2022-06-14,Live Cattle Future (third month) (October),LEV2,139.93,140.75,139.5,140.15,7516.0
2022-06-15,Live Cattle Future (third month) (October),LEV2,141.12,142.9,141.05,142.22,13908.0
2022-06-16,Live Cattle Future (third month) (October),LEV2,142.2,142.57,141.6,142.07,8253.0
2022-05-17,Feeder Cattle Future (front month) (August),GFQ2,168.1,168.7,166.4,166.78,5267.0
2022-05-18,Feeder Cattle Future (front month) (August),GFQ2,166.52,167.32,164.6,165.8,4737.0
2022-05-19,Feeder Cattle Future (front month) (August),GFQ2,165.62,166.12,164.6,165.2,3470.0
2022-05-20,Feeder Cattle Future (front month) (August),GFQ2,165.8,166.62,163.3,163.92,4755.0
2022-05-23,Feeder Cattle Future (front month) (August),GFQ2,163.18,165.95,162.8,165.62,4991.0
2022-05-24,Feeder Cattle Future (front month) (August),GFQ2,166.28,169.0,166.15,168.15,5555.0
2022-05-25,Feeder Cattle Future (front month) (August),GFQ2,169.5,170.25,167.7,167.95,4358.0
2022-05-26,Feeder Cattle Future (front month) (August),GFQ2,168.35,168.58,166.1,166.68,3605.0
2022-05-27,Feeder Cattle Future (front month) (August),GFQ2,166.62,167.45,165.7,166.32,3348.0
2022-05-31,Feeder Cattle Future (front month) (August),GFQ2,166.78,168.38,164.75,165.12,6216.0
2022-06-01,Feeder Cattle Future (front month) (August),GFQ2,165.28,170.22,165.02,169.72,8198.0
2022-06-02,Feeder Cattle Future (front month) (August),GFQ2,169.72,173.6,169.28,172.95,8807.0
2022-06-03,Feeder Cattle Future (front month) (August),GFQ2,173.0,174.28,172.15,173.88,6283.0
2022-06-06,Feeder Cattle Future (front month) (August),GFQ2,172.75,174.18,171.7,171.98,5394.0
2022-06-07,Feeder Cattle Future (front month) (August),GFQ2,171.5,172.68,171.0,172.45,4356.0
2022-06-08,Feeder Cattle Future (front month) (August),GFQ2,172.0,176.58,171.92,175.65,7482.0
2022-06-09,Feeder Cattle Future (front month) (August),GFQ2,175.9,176.88,175.55,176.02,6607.0
2022-06-10,Feeder Cattle Future (front month) (August),GFQ2,175.75,176.5,174.02,174.48,5328.0
2022-06-13,Feeder Cattle Future (front month) (August),GFQ2,173.5,173.75,169.4,171.32,7674.0
2022-06-14,Feeder Cattle Future (front month) (August),GFQ2,171.45,172.8,170.72,171.3,4509.0
2022-06-15,Feeder Cattle Future (front month) (August),GFQ2,172.52,173.85,172.3,173.28,5324.0
2022-06-16,Feeder Cattle Future (front month) (August),GFQ2,172.68,173.05,170.55,171.3,5027.0
2022-05-17,Feeder Cattle Future (second month) (September),GFU2,170.8,171.15,169.0,169.22,2049.0
2022-05-18,Feeder Cattle Future (second month) (September),GFU2,169.02,169.82,167.42,168.45,1838.0
2022-05-19,Feeder Cattle Future (second month) (September),GFU2,168.45,168.8,167.38,167.9,1402.0
2022-05-20,Feeder Cattle Future (second month) (September),GFU2,168.7,169.25,166.32,167.0,1804.0
2022-05-23,Feeder Cattle Future (second month) (September),GFU2,166.48,168.78,166.08,168.3,2279.0
2022-05-24,Feeder Cattle Future (second month) (September),GFU2,169.0,171.7,168.85,171.08,2314.0
2022-05-25,Feeder Cattle Future (second month) (September),GFU2,172.32,172.98,170.75,171.05,2059.0
2022-05-26,Feeder Cattle Future (second month) (September),GFU2,171.28,171.62,169.2,169.72,1081.0
2022-05-27,Feeder Cattle Future (second month) (September),GFU2,169.72,170.32,168.8,169.3,1417.0
2022-05-31,Feeder Cattle Future (second month) (September),GFU2,169.52,171.05,167.72,168.12,1653.0
2022-06-01,Feeder Cattle Future (second month) (September),GFU2,168.35,172.78,168.02,172.4,2957.0
2022-06-02,Feeder Cattle Future (second month) (September),GFU2,172.38,175.92,172.08,175.48,2572.0
2022-06-03,Feeder Cattle Future (second month) (September),GFU2,175.48,176.65,174.7,176.3,2064.0
2022-06-06,Feeder Cattle Future (second month) (September),GFU2,175.12,176.55,174.28,174.55,2377.0
2022-06-07,Feeder Cattle Future (second month) (September),GFU2,174.18,174.9,173.68,174.75,2325.0
2022-06-08,Feeder Cattle Future (second month) (September),GFU2,174.38,178.38,174.18,177.25,3549.0
2022-06-09,Feeder Cattle Future (second month) (September),GFU2,177.65,178.42,176.88,177.38,2750.0
2022-06-10,Feeder Cattle Future (second month) (September),GFU2,177.12,177.78,175.5,176.05,2396.0
