Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-12-27,Live Cattle Future (front month) (February),LEG3,157.45,158.43,157.2,157.88,20032.0
2022-12-28,Live Cattle Future (front month) (February),LEG3,157.68,158.25,157.5,157.8,17101.0
2022-12-29,Live Cattle Future (front month) (February),LEG3,157.88,159.18,157.68,158.85,23662.0
2022-12-30,Live Cattle Future (front month) (February),LEG3,158.72,158.93,157.78,157.9,20912.0
2023-01-03,Live Cattle Future (front month) (February),LEG3,158.15,158.15,156.65,156.85,28390.0
2023-01-04,Live Cattle Future (front month) (February),LEG3,157.02,157.85,156.93,157.28,24292.0
2023-01-05,Live Cattle Future (front month) (February),LEG3,157.18,157.6,156.78,157.35,23517.0
2023-01-06,Live Cattle Future (front month) (February),LEG3,157.35,157.48,156.6,156.78,22687.0
2023-01-09,Live Cattle Future (front month) (February),LEG3,156.7,158.18,156.52,157.75,44402.0
2023-01-10,Live Cattle Future (front month) (February),LEG3,157.6,158.82,157.55,157.75,43790.0
2023-01-11,Live Cattle Future (front month) (February),LEG3,157.85,157.95,157.05,157.75,43404.0
2023-01-12,Live Cattle Future (front month) (February),LEG3,157.8,158.0,156.95,157.55,32304.0
2023-01-13,Live Cattle Future (front month) (February),LEG3,157.68,158.15,156.9,157.72,35702.0
2023-01-17,Live Cattle Future (front month) (February),LEG3,157.65,157.65,156.32,157.0,32498.0
2023-01-18,Live Cattle Future (front month) (February),LEG3,157.18,157.57,156.72,156.8,14512.0
2023-01-19,Live Cattle Future (front month) (February),LEG3,156.72,156.72,155.38,155.95,19592.0
2023-01-20,Live Cattle Future (front month) (February),LEG3,155.95,156.8,155.7,156.62,8815.0
2023-01-23,Live Cattle Future (front month) (February),LEG3,156.6,157.6,156.2,157.48,11293.0
2022-12-27,Live Cattle Future (second month) (April),LEJ3,161.32,162.25,161.3,161.82,11884.0
2022-12-28,Live Cattle Future (second month) (April),LEJ3,161.6,162.18,161.45,161.78,8524.0
2022-12-29,Live Cattle Future (second month) (April),LEJ3,161.78,162.75,161.68,162.45,12335.0
2022-12-30,Live Cattle Future (second month) (April),LEJ3,162.2,162.6,161.68,161.8,10265.0
2023-01-03,Live Cattle Future (second month) (April),LEJ3,161.95,161.98,160.75,160.88,15411.0
2023-01-04,Live Cattle Future (second month) (April),LEJ3,161.0,161.78,160.95,161.43,14766.0
2023-01-05,Live Cattle Future (second month) (April),LEJ3,161.32,161.55,160.82,161.28,15573.0
