Date,Product Name,Symbol,Open,High,Low,Close,Volume
2021-12-22,Corn Future (front month) (March),ZCH2,597.5,606.75,597.0,602.5,154966.0
2021-12-23,Corn Future (front month) (March),ZCH2,601.5,607.0,600.5,605.75,108565.0
2021-12-27,Corn Future (front month) (March),ZCH2,608.25,615.5,607.0,614.75,123211.0
2021-12-28,Corn Future (front month) (March),ZCH2,614.25,617.75,603.75,604.75,134208.0
2021-12-29,Corn Future (front month) (March),ZCH2,604.0,610.75,599.5,605.5,117570.0
2021-12-30,Corn Future (front month) (March),ZCH2,605.5,606.0,592.75,596.0,122776.0
2021-12-31,Corn Future (front month) (March),ZCH2,595.75,599.25,592.5,593.25,69868.0
2022-01-03,Corn Future (front month) (March),ZCH2,599.0,603.5,584.75,589.25,146023.0
2022-01-04,Corn Future (front month) (March),ZCH2,591.75,611.25,591.5,609.5,210268.0
2022-01-05,Corn Future (front month) (March),ZCH2,608.5,609.75,601.25,602.25,148499.0
2022-01-06,Corn Future (front month) (March),ZCH2,601.25,605.75,596.0,603.75,151442.0
2022-01-07,Corn Future (front month) (March),ZCH2,605.25,608.25,599.0,606.75,140371.0
2022-01-10,Corn Future (front month) (March),ZCH2,605.25,608.0,596.25,599.75,135265.0
2022-01-11,Corn Future (front month) (March),ZCH2,599.75,604.75,598.0,601.0,128305.0
2022-01-12,Corn Future (front month) (March),ZCH2,601.0,604.0,591.0,599.0,181633.0
2022-01-13,Corn Future (front month) (March),ZCH2,599.0,599.75,585.25,587.5,186546.0
2022-01-14,Corn Future (front month) (March),ZCH2,587.5,598.25,585.25,596.25,140634.0
2022-01-18,Corn Future (front month) (March),ZCH2,592.75,600.75,588.25,599.5,141742.0
2022-01-19,Corn Future (front month) (March),ZCH2,600.0,614.5,600.0,610.5,179943.0
2022-01-20,Corn Future (front month) (March),ZCH2,609.0,614.25,606.25,611.0,127683.0
2022-01-21,Corn Future (front month) (March),ZCH2,607.5,618.5,604.25,616.25,187471.0
2021-12-22,Corn Future (second month) (May),ZCK2,598.75,607.5,598.0,604.0,41955.0
2021-12-23,Corn Future (second month) (May),ZCK2,602.75,608.25,602.0,607.25,27237.0
2021-12-27,Corn Future (second month) (May),ZCK2,609.75,617.75,608.5,616.75,40635.0
2021-12-28,Corn Future (second month) (May),ZCK2,616.25,619.5,605.25,606.5,35374.0
2021-12-29,Corn Future (second month) (May),ZCK2,606.0,611.75,601.0,606.75,33784.0
2021-12-30,Corn Future (second month) (May),ZCK2,606.75,607.0,593.5,596.75,35793.0
2021-12-31,Corn Future (second month) (May),ZCK2,596.25,600.5,594.25,595.0,23451.0
2022-01-03,Corn Future (second month) (May),ZCK2,600.75,605.0,586.75,591.0,37391.0
2022-01-04,Corn Future (second month) (May),ZCK2,593.0,611.0,593.0,609.5,65241.0
2022-01-05,Corn Future (second month) (May),ZCK2,608.5,609.5,601.75,602.75,48417.0
2022-01-06,Corn Future (second month) (May),ZCK2,602.0,606.25,596.5,604.5,42837.0
2022-01-07,Corn Future (second month) (May),ZCK2,605.75,608.5,599.5,607.75,47115.0
2022-01-10,Corn Future (second month) (May),ZCK2,606.0,608.5,597.5,601.25,52339.0
2022-01-11,Corn Future (second month) (May),ZCK2,601.0,605.75,599.5,602.5,51271.0
2022-01-12,Corn Future (second month) (May),ZCK2,602.25,604.75,592.75,600.75,58854.0
2022-01-13,Corn Future (second month) (May),ZCK2,600.75,601.25,587.0,589.5,66449.0
2022-01-14,Corn Future (second month) (May),ZCK2,589.25,598.75,587.25,597.25,47417.0
2022-01-18,Corn Future (second month) (May),ZCK2,593.75,601.0,589.75,600.0,49037.0
2022-01-19,Corn Future (second month) (May),ZCK2,600.0,614.5,600.0,611.0,62649.0
2022-01-20,Corn Future (second month) (May),ZCK2,610.0,613.75,606.25,610.75,46079.0
2022-01-21,Corn Future (second month) (May),ZCK2,607.5,616.0,604.25,614.0,69124.0
2021-12-22,Corn Future (third month) (July),ZCN2,597.25,605.75,596.5,602.5,26857.0
2021-12-23,Corn Future (third month) (July),ZCN2,601.0,607.25,600.25,606.0,20109.0
2021-12-27,Corn Future (third month) (July),ZCN2,608.25,616.25,607.5,615.75,18083.0
2021-12-28,Corn Future (third month) (July),ZCN2,614.75,618.25,604.5,605.5,24883.0
2021-12-29,Corn Future (third month) (July),ZCN2,605.0,609.75,599.75,605.25,24962.0
2021-12-30,Corn Future (third month) (July),ZCN2,604.5,605.25,591.75,594.5,23918.0
2021-12-31,Corn Future (third month) (July),ZCN2,594.5,598.5,592.75,593.5,13975.0
2022-01-03,Corn Future (third month) (July),ZCN2,598.75,603.5,585.25,589.75,28396.0
2022-01-04,Corn Future (third month) (July),ZCN2,592.0,607.5,591.25,606.5,42767.0
2022-01-05,Corn Future (third month) (July),ZCN2,605.0,606.5,599.25,600.25,32991.0
2022-01-06,Corn Future (third month) (July),ZCN2,599.5,603.25,594.0,602.25,31283.0
2022-01-07,Corn Future (third month) (July),ZCN2,603.25,605.25,597.0,604.5,36834.0
2022-01-10,Corn Future (third month) (July),ZCN2,600.5,605.25,595.0,599.0,27940.0
2022-01-11,Corn Future (third month) (July),ZCN2,599.0,603.25,597.75,600.0,33413.0
2022-01-12,Corn Future (third month) (July),ZCN2,599.75,601.75,590.25,598.0,45373.0
2022-01-13,Corn Future (third month) (July),ZCN2,598.0,598.75,584.75,587.75,51422.0
2022-01-14,Corn Future (third month) (July),ZCN2,587.25,595.0,585.0,593.5,32959.0
2022-01-18,Corn Future (third month) (July),ZCN2,590.0,597.25,586.75,596.5,31188.0
2022-01-19,Corn Future (third month) (July),ZCN2,596.5,610.5,596.25,607.25,44174.0
2022-01-20,Corn Future (third month) (July),ZCN2,606.0,609.75,602.5,606.5,26113.0
2022-01-21,Corn Future (third month) (July),ZCN2,603.25,610.5,600.0,608.5,41600.0
