Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-12-05,Corn Future (front month) (March),ZCH3,646.5,649.0,637.75,640.5,144282.0
2022-12-06,Corn Future (front month) (March),ZCH3,640.5,645.5,635.75,637.25,145618.0
2022-12-07,Corn Future (front month) (March),ZCH3,637.5,645.75,635.0,641.25,128635.0
2022-12-08,Corn Future (front month) (March),ZCH3,643.5,645.25,638.25,642.5,92963.0
2022-12-09,Corn Future (front month) (March),ZCH3,642.5,649.75,642.0,644.0,104526.0
2022-12-12,Corn Future (front month) (March),ZCH3,644.5,655.25,644.5,654.0,128466.0
2022-12-13,Corn Future (front month) (March),ZCH3,654.0,660.0,652.25,653.5,123617.0
2022-12-14,Corn Future (front month) (March),ZCH3,653.0,653.5,646.75,650.5,92295.0
2022-12-15,Corn Future (front month) (March),ZCH3,650.25,654.25,647.75,653.5,93735.0
2022-12-16,Corn Future (front month) (March),ZCH3,653.5,655.75,650.0,653.0,66395.0
2022-12-19,Corn Future (front month) (March),ZCH3,650.5,650.75,644.0,647.25,83168.0
2022-12-20,Corn Future (front month) (March),ZCH3,647.75,654.25,646.75,652.0,91464.0
2022-12-21,Corn Future (front month) (March),ZCH3,651.5,663.0,651.0,662.25,125592.0
2022-12-22,Corn Future (front month) (March),ZCH3,662.0,664.75,658.75,660.5,79924.0
2022-12-23,Corn Future (front month) (March),ZCH3,659.5,667.75,659.25,666.25,94496.0
2022-12-27,Corn Future (front month) (March),ZCH3,669.0,675.75,667.25,674.75,123172.0
2022-12-28,Corn Future (front month) (March),ZCH3,673.25,683.5,672.75,682.75,122193.0
2022-12-29,Corn Future (front month) (March),ZCH3,681.75,682.25,677.25,679.5,104937.0
2022-12-30,Corn Future (front month) (March),ZCH3,679.5,685.0,676.5,678.5,90321.0
2023-01-03,Corn Future (front month) (March),ZCH3,677.25,681.25,668.0,670.5,155538.0
2023-01-04,Corn Future (front month) (March),ZCH3,670.75,671.75,652.5,653.75,175762.0
2022-12-05,Corn Future (second month) (May),ZCK3,648.5,649.5,639.75,642.25,34094.0
2022-12-06,Corn Future (second month) (May),ZCK3,642.5,646.75,637.75,639.0,40000.0
2022-12-07,Corn Future (second month) (May),ZCK3,638.75,647.0,636.75,642.75,27560.0
2022-12-08,Corn Future (second month) (May),ZCK3,645.5,646.75,640.0,644.25,22999.0
2022-12-09,Corn Future (second month) (May),ZCK3,644.5,650.5,644.0,645.25,29407.0
