Date,Product Name,Symbol,Open,High,Low,Close,Volume
2020-10-26,Dollar Index,DX-Y.NYB,92.76,93.11,92.74,93.04,0.0
2020-10-27,Dollar Index,DX-Y.NYB,93.07,93.13,92.79,92.94,0.0
2020-10-28,Dollar Index,DX-Y.NYB,93.14,93.64,93.05,93.4,0.0
2020-10-29,Dollar Index,DX-Y.NYB,93.43,94.1,93.34,93.96,0.0
2020-10-30,Dollar Index,DX-Y.NYB,93.88,94.08,93.65,94.04,0.0
2020-11-02,Dollar Index,DX-Y.NYB,94.06,94.28,93.89,94.13,0.0
2020-11-03,Dollar Index,DX-Y.NYB,94.05,94.05,93.29,93.55,0.0
2020-11-04,Dollar Index,DX-Y.NYB,93.09,94.3,93.09,93.41,0.0
2020-11-05,Dollar Index,DX-Y.NYB,93.34,93.54,92.48,92.52,0.0
2020-11-06,Dollar Index,DX-Y.NYB,92.57,92.82,92.18,92.23,0.0
2020-11-09,Dollar Index,DX-Y.NYB,92.24,92.96,92.13,92.72,0.0
2020-11-10,Dollar Index,DX-Y.NYB,92.76,92.97,92.6,92.75,0.0
2020-11-11,Dollar Index,DX-Y.NYB,92.7,93.21,92.61,93.04,0.0
2020-11-12,Dollar Index,DX-Y.NYB,93.01,93.14,92.78,92.96,0.0
2020-11-13,Dollar Index,DX-Y.NYB,92.95,93.0,92.74,92.76,0.0
2020-11-16,Dollar Index,DX-Y.NYB,92.72,92.84,92.46,92.64,0.0
2020-11-17,Dollar Index,DX-Y.NYB,92.49,92.61,92.27,92.42,0.0
2020-11-18,Dollar Index,DX-Y.NYB,92.44,92.51,92.21,92.32,0.0
2020-11-19,Dollar Index,DX-Y.NYB,92.56,92.72,92.28,92.29,0.0
2020-11-20,Dollar Index,DX-Y.NYB,92.34,92.43,92.21,92.39,0.0
2020-11-23,Dollar Index,DX-Y.NYB,92.4,92.8,92.02,92.5,0.0
2020-11-24,Dollar Index,DX-Y.NYB,92.53,92.56,92.14,92.23,0.0
2020-11-25,Dollar Index,DX-Y.NYB,92.11,92.26,91.93,91.99,0.0
2020-10-26,Euro,EUR=X,1.1852,1.1858,1.1803,1.1808,159613.0
2020-10-27,Euro,EUR=X,1.1808,1.1839,1.1792,1.1794,150082.0
2020-10-28,Euro,EUR=X,1.1794,1.1796,1.1718,1.1746,202793.0
2020-10-29,Euro,EUR=X,1.1746,1.1758,1.165,1.1673,202368.0
2020-10-30,Euro,EUR=X,1.1673,1.1704,1.164,1.1641,208615.0
2020-11-02,Euro,EUR=X,1.1649,1.1655,1.1622,1.164,173220.0
2020-11-03,Euro,EUR=X,1.164,1.174,1.1631,1.1714,163268.0
2020-11-04,Euro,EUR=X,1.1714,1.177,1.1603,1.172,359815.0
2020-11-05,Euro,EUR=X,1.172,1.1859,1.1711,1.1828,251829.0
2020-11-06,Euro,EUR=X,1.1828,1.1891,1.1795,1.1872,242659.0
2020-11-09,Euro,EUR=X,1.1887,1.192,1.1796,1.1813,284417.0
2020-11-10,Euro,EUR=X,1.1813,1.1843,1.178,1.1813,259542.0
2020-11-11,Euro,EUR=X,1.1813,1.1832,1.1746,1.1778,162891.0
2020-11-12,Euro,EUR=X,1.1778,1.1823,1.1758,1.1804,169503.0
2020-11-13,Euro,EUR=X,1.1804,1.1837,1.1799,1.1833,136482.0
2020-11-16,Euro,EUR=X,1.1838,1.1868,1.1814,1.1852,153509.0
2020-11-17,Euro,EUR=X,1.1851,1.1893,1.1844,1.1861,134322.0
2020-11-18,Euro,EUR=X,1.1861,1.1891,1.1849,1.1853,146115.0
2020-11-19,Euro,EUR=X,1.1853,1.1882,1.1816,1.1873,157753.0
2020-11-20,Euro,EUR=X,1.1872,1.189,1.185,1.1855,142668.0
2020-11-23,Euro,EUR=X,1.1852,1.1906,1.1801,1.184,149755.0
2020-11-24,Euro,EUR=X,1.184,1.1895,1.1836,1.1891,157129.0
2020-11-25,Euro,EUR=X,1.1891,1.193,1.1882,1.1913,172546.0
2020-10-26,British Pound,GBP=X,1.3061,1.3074,1.2993,1.3024,193585.0
2020-10-27,British Pound,GBP=X,1.3024,1.3079,1.3001,1.3043,181569.0
2020-10-28,British Pound,GBP=X,1.3043,1.3063,1.2916,1.2983,248275.0
2020-10-29,British Pound,GBP=X,1.2983,1.3025,1.2881,1.2915,242036.0
2020-10-30,British Pound,GBP=X,1.2916,1.2988,1.2899,1.2944,259122.0
2020-11-02,British Pound,GBP=X,1.2924,1.2942,1.2855,1.2916,206387.0
2020-11-03,British Pound,GBP=X,1.2916,1.3078,1.2909,1.3048,202388.0
2020-11-04,British Pound,GBP=X,1.3049,1.3138,1.2914,1.2986,373525.0
2020-11-05,British Pound,GBP=X,1.2986,1.3154,1.2931,1.3146,306474.0
2020-11-06,British Pound,GBP=X,1.3144,1.3176,1.3093,1.3149,283855.0
2020-11-09,British Pound,GBP=X,1.3165,1.3207,1.3118,1.3163,310767.0
2020-11-10,British Pound,GBP=X,1.3163,1.3277,1.3155,1.3269,310332.0
2020-11-11,British Pound,GBP=X,1.3269,1.3311,1.3191,1.3223,212516.0
2020-11-12,British Pound,GBP=X,1.3222,1.3227,1.3106,1.3109,199794.0
2020-11-13,British Pound,GBP=X,1.3109,1.3199,1.3109,1.3179,168170.0
2020-11-16,British Pound,GBP=X,1.3174,1.3242,1.3165,1.3193,164709.0
2020-11-17,British Pound,GBP=X,1.3192,1.3272,1.3187,1.3245,177799.0
2020-11-18,British Pound,GBP=X,1.3244,1.3311,1.3243,1.3266,162485.0
2020-11-19,British Pound,GBP=X,1.3266,1.3279,1.3197,1.3261,192990.0
2020-11-20,British Pound,GBP=X,1.326,1.3296,1.3246,1.3284,173453.0
2020-11-23,British Pound,GBP=X,1.3296,1.3397,1.3264,1.3317,184134.0
2020-11-24,British Pound,GBP=X,1.3314,1.338,1.3293,1.3359,189379.0
2020-11-25,British Pound,GBP=X,1.3359,1.3393,1.3304,1.3385,196268.0
2020-10-26,Gold,^XAU,1902.28,1907.14,1894.36,1901.67,7076.0
2020-10-27,Gold,^XAU,1901.7,1910.81,1898.44,1907.39,7316.0
2020-10-28,Gold,^XAU,1907.36,1909.69,1871.39,1876.75,6892.0
2020-10-29,Gold,^XAU,1876.83,1884.47,1859.97,1867.2,7006.0
2020-10-30,Gold,^XAU,1867.19,1887.98,1865.01,1878.11,6844.0
2020-11-02,Gold,^XAU,1883.87,1895.67,1874.05,1894.97,6838.0
2020-11-03,Gold,^XAU,1894.99,1909.75,1888.27,1909.18,6854.0
2020-11-04,Gold,^XAU,1909.14,1914.96,1886.35,1902.8,6357.0
2020-11-05,Gold,^XAU,1902.85,1951.09,1902.38,1948.77,6749.0
2020-11-06,Gold,^XAU,1948.77,1959.36,1936.12,1950.95,6726.0
2020-11-09,Gold,^XAU,1951.13,1964.66,1853.0,1862.71,6453.0
2020-11-10,Gold,^XAU,1862.4,1888.76,1860.61,1876.76,6661.0
2020-11-11,Gold,^XAU,1876.72,1883.28,1857.42,1865.14,6700.0
2020-11-12,Gold,^XAU,1865.1,1882.09,1862.64,1876.34,6816.0
2020-11-13,Gold,^XAU,1876.34,1894.64,1874.46,1888.95,7015.0
2020-11-16,Gold,^XAU,1889.48,1897.92,1870.78,1888.34,4098.0
2020-11-17,Gold,^XAU,1888.16,1891.73,1879.86,1879.89,3992.0
2020-11-18,Gold,^XAU,1879.86,1883.85,1866.9,1871.73,4588.0
2020-11-19,Gold,^XAU,1871.77,1873.54,1853.94,1866.38,6877.0
2020-11-20,Gold,^XAU,1866.22,1878.82,1861.02,1870.49,6995.0
2020-11-23,Gold,^XAU,1870.51,1875.43,1831.45,1837.5,6909.0
2020-11-24,Gold,^XAU,1837.57,1838.3,1801.32,1807.15,6431.0
2020-11-25,Gold,^XAU,1806.97,1816.06,1801.83,1806.89,6624.0
2020-10-26,Austrilian Dollar,AUD=X,0.7137,0.7146,0.7103,0.7123,135800.0
2020-10-27,Austrilian Dollar,AUD=X,0.7121,0.7146,0.7114,0.7128,119173.0
2020-10-28,Austrilian Dollar,AUD=X,0.7128,0.7157,0.7038,0.7043,164143.0
2020-10-29,Austrilian Dollar,AUD=X,0.7043,0.7076,0.7002,0.7027,165873.0
2020-10-30,Austrilian Dollar,AUD=X,0.7027,0.7072,0.7012,0.7027,184355.0
2020-11-02,Austrilian Dollar,AUD=X,0.7024,0.7057,0.6991,0.7056,155449.0
2020-11-03,Austrilian Dollar,AUD=X,0.7056,0.7174,0.7028,0.7163,136276.0
2020-11-04,Austrilian Dollar,AUD=X,0.7163,0.7221,0.7049,0.7176,326185.0
2020-11-05,Austrilian Dollar,AUD=X,0.7176,0.7289,0.7145,0.7283,215270.0
2020-11-06,Austrilian Dollar,AUD=X,0.7283,0.7287,0.7239,0.7256,197981.0
2020-11-09,Austrilian Dollar,AUD=X,0.7279,0.7339,0.7267,0.7276,229847.0
2020-11-10,Austrilian Dollar,AUD=X,0.7276,0.7294,0.7253,0.7284,211316.0
2020-11-11,Austrilian Dollar,AUD=X,0.7284,0.7318,0.726,0.728,145669.0
2020-11-12,Austrilian Dollar,AUD=X,0.7279,0.7293,0.7224,0.7231,144336.0
2020-11-13,Austrilian Dollar,AUD=X,0.7231,0.7273,0.7221,0.7267,117334.0
2020-11-16,Austrilian Dollar,AUD=X,0.7264,0.7326,0.7261,0.7318,131377.0
2020-11-17,Austrilian Dollar,AUD=X,0.7317,0.7339,0.7289,0.7298,116983.0
2020-11-18,Austrilian Dollar,AUD=X,0.7298,0.733,0.7272,0.7304,133135.0
2020-11-19,Austrilian Dollar,AUD=X,0.7304,0.7305,0.7255,0.7282,139723.0
2020-11-20,Austrilian Dollar,AUD=X,0.7282,0.7324,0.7266,0.73,135694.0
2020-11-23,Austrilian Dollar,AUD=X,0.7302,0.7337,0.7266,0.7286,123081.0
