Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-05-16,Dollar Index,DX-Y.NYB,104.59,104.64,104.14,104.19,0.0
2022-05-17,Dollar Index,DX-Y.NYB,104.16,104.23,103.23,103.36,0.0
2022-05-18,Dollar Index,DX-Y.NYB,103.31,103.87,103.19,103.81,0.0
2022-05-19,Dollar Index,DX-Y.NYB,103.81,103.88,102.66,102.72,0.0
2022-05-20,Dollar Index,DX-Y.NYB,102.92,103.26,102.77,103.15,0.0
2022-05-23,Dollar Index,DX-Y.NYB,103.04,103.05,102.04,102.08,0.0
2022-05-24,Dollar Index,DX-Y.NYB,102.14,102.32,101.65,101.86,0.0
2022-05-25,Dollar Index,DX-Y.NYB,101.76,102.45,101.73,102.06,0.0
2022-05-26,Dollar Index,DX-Y.NYB,102.06,102.27,101.77,101.83,0.0
2022-05-27,Dollar Index,DX-Y.NYB,101.73,101.94,101.43,101.67,0.0
2022-05-30,Dollar Index,DX-Y.NYB,101.66,101.72,101.3,101.67,0.0
2022-05-31,Dollar Index,DX-Y.NYB,101.42,102.17,101.41,101.75,0.0
2022-06-01,Dollar Index,DX-Y.NYB,101.77,102.73,101.74,102.5,0.0
2022-06-02,Dollar Index,DX-Y.NYB,102.56,102.62,101.74,101.82,0.0
2022-06-03,Dollar Index,DX-Y.NYB,101.75,102.22,101.64,102.14,0.0
2022-06-06,Dollar Index,DX-Y.NYB,102.16,102.47,101.85,102.44,0.0
2022-06-07,Dollar Index,DX-Y.NYB,102.48,102.84,102.26,102.32,0.0
2022-06-08,Dollar Index,DX-Y.NYB,102.42,102.78,102.27,102.54,0.0
2022-06-09,Dollar Index,DX-Y.NYB,102.57,103.34,102.15,103.22,0.0
2022-06-10,Dollar Index,DX-Y.NYB,103.31,104.23,103.05,104.15,0.0
2022-06-13,Dollar Index,DX-Y.NYB,104.21,105.28,104.21,105.08,0.0
2022-05-16,Euro,EUR=X,1.0393,1.0443,1.0389,1.0429,226593.0
2022-05-17,Euro,EUR=X,1.0429,1.0555,1.0428,1.055,272235.0
2022-05-18,Euro,EUR=X,1.0549,1.0563,1.046,1.046,231190.0
2022-05-19,Euro,EUR=X,1.046,1.0607,1.046,1.0581,299596.0
2022-05-20,Euro,EUR=X,1.0581,1.0598,1.0533,1.0562,253758.0
2022-05-23,Euro,EUR=X,1.0571,1.0697,1.0556,1.069,217235.0
2022-05-24,Euro,EUR=X,1.069,1.0748,1.0634,1.0726,251207.0
2022-05-25,Euro,EUR=X,1.0727,1.0739,1.0642,1.0672,255991.0
2022-05-26,Euro,EUR=X,1.0672,1.0731,1.0662,1.0716,234154.0
2022-05-27,Euro,EUR=X,1.0717,1.0765,1.0698,1.073,209241.0
2022-05-30,Euro,EUR=X,1.0735,1.0787,1.0726,1.0779,158052.0
2022-05-31,Euro,EUR=X,1.0779,1.078,1.0679,1.0733,253191.0
2022-06-01,Euro,EUR=X,1.0733,1.0738,1.0627,1.0651,206464.0
2022-06-02,Euro,EUR=X,1.065,1.075,1.0645,1.0747,180795.0
2022-06-03,Euro,EUR=X,1.0746,1.0764,1.0704,1.0717,169597.0
2022-06-06,Euro,EUR=X,1.0719,1.0751,1.0684,1.0694,159830.0
2022-06-07,Euro,EUR=X,1.0695,1.0714,1.0652,1.0692,214258.0
2022-06-08,Euro,EUR=X,1.0693,1.0748,1.0672,1.0716,195161.0
2022-06-09,Euro,EUR=X,1.0716,1.0773,1.0611,1.0618,270462.0
2022-06-10,Euro,EUR=X,1.0617,1.0642,1.0506,1.0512,273478.0
2022-06-13,Euro,EUR=X,1.0515,1.052,1.04,1.0405,298245.0
2022-05-16,British Pound,GBP=X,1.2238,1.2329,1.2217,1.232,261484.0
2022-05-17,British Pound,GBP=X,1.2319,1.2498,1.2315,1.2491,304300.0
2022-05-18,British Pound,GBP=X,1.249,1.25,1.233,1.234,248725.0
2022-05-19,British Pound,GBP=X,1.234,1.2524,1.2336,1.2464,348767.0
2022-05-20,British Pound,GBP=X,1.2465,1.2499,1.2438,1.2489,294361.0
2022-05-23,British Pound,GBP=X,1.2482,1.2601,1.2472,1.2586,240004.0
2022-05-24,British Pound,GBP=X,1.2586,1.2598,1.2471,1.253,291555.0
2022-05-25,British Pound,GBP=X,1.253,1.259,1.2481,1.2562,288710.0
2022-05-26,British Pound,GBP=X,1.2563,1.262,1.2552,1.2602,266747.0
2022-05-27,British Pound,GBP=X,1.2602,1.2666,1.2575,1.2627,237084.0
2022-05-30,British Pound,GBP=X,1.2612,1.2659,1.2608,1.2655,198011.0
2022-05-31,British Pound,GBP=X,1.2651,1.2653,1.256,1.2598,276312.0
2022-06-01,British Pound,GBP=X,1.2598,1.2616,1.2459,1.2482,248427.0
2022-06-02,British Pound,GBP=X,1.2482,1.2586,1.2469,1.2572,206742.0
2022-06-03,British Pound,GBP=X,1.2572,1.2588,1.2481,1.2484,196915.0
2022-06-06,British Pound,GBP=X,1.2501,1.2577,1.2476,1.2528,215285.0
2022-06-07,British Pound,GBP=X,1.2527,1.2599,1.243,1.2586,271592.0
2022-06-08,British Pound,GBP=X,1.2586,1.2596,1.2513,1.2531,247496.0
2022-06-09,British Pound,GBP=X,1.2532,1.2557,1.2487,1.2491,298071.0
2022-06-10,British Pound,GBP=X,1.249,1.2517,1.2284,1.2293,296752.0
2022-06-13,British Pound,GBP=X,1.2324,1.2324,1.2107,1.2122,353422.0
2022-05-16,Gold,^XAU,1811.19,1826.04,1791.94,1824.29,6731.0
2022-05-17,Gold,^XAU,1824.19,1835.38,1813.34,1814.66,7013.0
2022-05-18,Gold,^XAU,1814.7,1824.01,1807.94,1816.52,7217.0
