Date,Product Name,Symbol,Open,High,Low,Close,Volume
2020-07-06,Dollar Index,DX-Y.NYB,97.18,97.2,96.57,96.72,0.0
2020-07-07,Dollar Index,DX-Y.NYB,96.75,97.15,96.6,96.88,0.0
2020-07-08,Dollar Index,DX-Y.NYB,96.97,97.05,96.4,96.43,0.0
2020-07-09,Dollar Index,DX-Y.NYB,96.45,96.8,96.24,96.7,0.0
2020-07-10,Dollar Index,DX-Y.NYB,96.77,96.97,96.44,96.65,0.0
2020-07-13,Dollar Index,DX-Y.NYB,96.62,96.68,96.27,96.46,0.0
2020-07-14,Dollar Index,DX-Y.NYB,96.55,96.7,96.18,96.26,0.0
2020-07-15,Dollar Index,DX-Y.NYB,96.15,96.25,95.78,96.08,0.0
2020-07-16,Dollar Index,DX-Y.NYB,96.0,96.4,95.89,96.35,0.0
2020-07-17,Dollar Index,DX-Y.NYB,96.27,96.33,95.9,95.94,0.0
2020-07-20,Dollar Index,DX-Y.NYB,96.06,96.18,95.73,95.83,0.0
2020-07-21,Dollar Index,DX-Y.NYB,95.74,95.92,95.05,95.12,0.0
2020-07-22,Dollar Index,DX-Y.NYB,95.14,95.41,94.83,94.99,0.0
2020-07-23,Dollar Index,DX-Y.NYB,95.01,95.18,94.59,94.69,0.0
2020-07-24,Dollar Index,DX-Y.NYB,94.79,94.83,94.36,94.44,0.0
2020-07-27,Dollar Index,DX-Y.NYB,94.39,94.42,93.48,93.67,0.0
2020-07-28,Dollar Index,DX-Y.NYB,93.54,94.01,93.49,93.7,0.0
2020-07-29,Dollar Index,DX-Y.NYB,93.76,93.8,93.18,93.45,0.0
2020-07-30,Dollar Index,DX-Y.NYB,93.36,93.68,92.99,93.02,0.0
2020-07-31,Dollar Index,DX-Y.NYB,92.8,93.54,92.55,93.35,0.0
2020-08-03,Dollar Index,DX-Y.NYB,93.45,93.99,93.32,93.54,0.0
2020-08-04,Dollar Index,DX-Y.NYB,93.54,93.83,93.27,93.38,0.0
2020-07-06,Euro,EUR=X,1.1245,1.1345,1.1241,1.1308,165575.0
2020-07-07,Euro,EUR=X,1.1307,1.1332,1.1259,1.1273,182857.0
2020-07-08,Euro,EUR=X,1.1273,1.1351,1.1262,1.1329,192719.0
2020-07-09,Euro,EUR=X,1.1329,1.137,1.128,1.1285,217986.0
2020-07-10,Euro,EUR=X,1.1284,1.1325,1.1255,1.1299,180740.0
2020-07-13,Euro,EUR=X,1.1302,1.1375,1.1301,1.1342,181900.0
2020-07-14,Euro,EUR=X,1.1342,1.1408,1.1325,1.1399,215157.0
2020-07-15,Euro,EUR=X,1.1399,1.1452,1.1391,1.1411,201074.0
2020-07-16,Euro,EUR=X,1.1411,1.1441,1.137,1.1383,199925.0
2020-07-17,Euro,EUR=X,1.1383,1.1443,1.1376,1.1428,157496.0
2020-07-20,Euro,EUR=X,1.1413,1.1468,1.1402,1.1447,195195.0
2020-07-21,Euro,EUR=X,1.1446,1.154,1.1424,1.1526,211963.0
2020-07-22,Euro,EUR=X,1.1526,1.16,1.1507,1.157,248158.0
2020-07-23,Euro,EUR=X,1.157,1.1626,1.154,1.1596,228791.0
2020-07-24,Euro,EUR=X,1.1596,1.1657,1.1581,1.1655,231027.0
2020-07-27,Euro,EUR=X,1.1656,1.1781,1.1639,1.1751,243390.0
2020-07-28,Euro,EUR=X,1.1751,1.1773,1.1699,1.1715,252356.0
2020-07-29,Euro,EUR=X,1.1715,1.1805,1.1713,1.1791,230970.0
2020-07-30,Euro,EUR=X,1.1791,1.1848,1.1731,1.1847,252637.0
2020-07-31,Euro,EUR=X,1.1847,1.1908,1.1763,1.1775,299980.0
2020-08-03,Euro,EUR=X,1.1778,1.1796,1.1696,1.1762,234599.0
2020-08-04,Euro,EUR=X,1.1762,1.1805,1.1721,1.1802,220587.0
2020-07-06,British Pound,GBP=X,1.2471,1.2519,1.2463,1.249,153847.0
2020-07-07,British Pound,GBP=X,1.249,1.2591,1.2462,1.254,178270.0
2020-07-08,British Pound,GBP=X,1.254,1.2622,1.2508,1.2609,185554.0
2020-07-09,British Pound,GBP=X,1.2607,1.2669,1.26,1.2605,196166.0
2020-07-10,British Pound,GBP=X,1.2605,1.2663,1.2567,1.2618,168920.0
2020-07-13,British Pound,GBP=X,1.2621,1.2665,1.255,1.2553,166832.0
2020-07-14,British Pound,GBP=X,1.2553,1.2563,1.248,1.2552,202681.0
2020-07-15,British Pound,GBP=X,1.2551,1.2649,1.2548,1.2586,185776.0
2020-07-16,British Pound,GBP=X,1.2585,1.2624,1.252,1.255,177426.0
2020-07-17,British Pound,GBP=X,1.255,1.2574,1.2511,1.2566,143930.0
2020-07-20,British Pound,GBP=X,1.2565,1.2665,1.2517,1.266,151774.0
2020-07-21,British Pound,GBP=X,1.266,1.2767,1.265,1.273,182481.0
2020-07-22,British Pound,GBP=X,1.273,1.2743,1.2644,1.2733,199830.0
2020-07-23,British Pound,GBP=X,1.2732,1.2759,1.2673,1.2739,209611.0
2020-07-24,British Pound,GBP=X,1.2739,1.2803,1.2717,1.2792,188693.0
2020-07-27,British Pound,GBP=X,1.2793,1.2902,1.2778,1.288,191134.0
2020-07-28,British Pound,GBP=X,1.288,1.2952,1.2838,1.293,202645.0
2020-07-29,British Pound,GBP=X,1.293,1.3012,1.2912,1.2996,196190.0
2020-07-30,British Pound,GBP=X,1.2996,1.3102,1.2944,1.3095,215943.0
2020-07-31,British Pound,GBP=X,1.3094,1.317,1.307,1.3083,251544.0
2020-08-03,British Pound,GBP=X,1.3078,1.3112,1.3004,1.3074,210919.0
2020-08-04,British Pound,GBP=X,1.3073,1.3107,1.2981,1.307,190533.0
2020-07-06,Gold,^XAU,1774.46,1786.52,1770.76,1783.94,7334.0
2020-07-07,Gold,^XAU,1784.03,1796.77,1774.87,1794.34,7290.0
2020-07-08,Gold,^XAU,1794.22,1815.35,1792.09,1808.28,6469.0
2020-07-09,Gold,^XAU,1808.25,1815.34,1798.03,1802.72,6784.0
2020-07-10,Gold,^XAU,1802.68,1809.29,1794.14,1798.03,6754.0
2020-07-13,Gold,^XAU,1797.97,1812.09,1797.83,1801.89,6832.0
2020-07-14,Gold,^XAU,1801.78,1810.1,1792.78,1809.06,6732.0
2020-07-15,Gold,^XAU,1809.0,1813.49,1803.53,1810.19,6602.0
2020-07-16,Gold,^XAU,1809.91,1812.79,1795.06,1796.39,6897.0
2020-07-17,Gold,^XAU,1796.53,1810.92,1796.06,1809.33,6776.0
2020-07-20,Gold,^XAU,1809.34,1819.09,1805.91,1816.78,6842.0
2020-07-21,Gold,^XAU,1816.85,1842.9,1815.94,1841.25,6887.0
2020-07-22,Gold,^XAU,1841.39,1871.43,1840.66,1871.43,6765.0
2020-07-23,Gold,^XAU,1871.46,1897.08,1864.64,1886.49,6716.0
2020-07-24,Gold,^XAU,1886.53,1904.74,1883.0,1900.88,6937.0
2020-07-27,Gold,^XAU,1900.83,1945.13,1900.38,1941.21,6615.0
2020-07-28,Gold,^XAU,1941.29,1976.81,1911.71,1959.07,6530.0
2020-07-29,Gold,^XAU,1958.91,1977.4,1946.74,1970.2,6588.0
2020-07-30,Gold,^XAU,1970.18,1970.73,1940.7,1955.81,6895.0
2020-07-31,Gold,^XAU,1955.68,1976.77,1955.3,1974.68,6991.0
2020-08-03,Gold,^XAU,1974.67,1984.06,1961.22,1976.13,6715.0
2020-08-04,Gold,^XAU,1976.16,2018.16,1970.02,2018.16,6587.0
2020-07-06,Austrilian Dollar,AUD=X,0.6926,0.6987,0.6923,0.6973,110247.0
2020-07-07,Austrilian Dollar,AUD=X,0.6973,0.6997,0.6922,0.6946,135480.0
2020-07-08,Austrilian Dollar,AUD=X,0.6946,0.6986,0.6927,0.6981,137815.0
2020-07-09,Austrilian Dollar,AUD=X,0.6981,0.7,0.695,0.6964,155671.0
2020-07-10,Austrilian Dollar,AUD=X,0.6963,0.6969,0.6924,0.6949,134919.0
2020-07-13,Austrilian Dollar,AUD=X,0.6953,0.6993,0.6939,0.694,133838.0
2020-07-14,Austrilian Dollar,AUD=X,0.694,0.6977,0.6921,0.6974,173575.0
2020-07-15,Austrilian Dollar,AUD=X,0.6974,0.7037,0.6969,0.7008,145807.0
2020-07-16,Austrilian Dollar,AUD=X,0.7008,0.7012,0.6963,0.6971,145930.0
2020-07-17,Austrilian Dollar,AUD=X,0.6971,0.7004,0.6966,0.6996,102734.0
2020-07-20,Austrilian Dollar,AUD=X,0.6985,0.7017,0.6973,0.7016,106028.0
2020-07-21,Austrilian Dollar,AUD=X,0.7016,0.7147,0.7011,0.7128,135129.0
2020-07-22,Austrilian Dollar,AUD=X,0.7128,0.7182,0.7112,0.714,160141.0
2020-07-23,Austrilian Dollar,AUD=X,0.714,0.7161,0.709,0.7098,170929.0
2020-07-24,Austrilian Dollar,AUD=X,0.7098,0.7124,0.7064,0.7105,165052.0
2020-07-27,Austrilian Dollar,AUD=X,0.7093,0.715,0.7086,0.7149,145870.0
2020-07-28,Austrilian Dollar,AUD=X,0.7149,0.7176,0.7113,0.7156,155810.0
2020-07-29,Austrilian Dollar,AUD=X,0.7156,0.7196,0.7149,0.7187,141680.0
2020-07-30,Austrilian Dollar,AUD=X,0.7187,0.7197,0.7121,0.7194,153842.0
2020-07-31,Austrilian Dollar,AUD=X,0.7194,0.7227,0.7133,0.7142,183950.0
2020-08-03,Austrilian Dollar,AUD=X,0.7127,0.7149,0.7076,0.7123,136658.0
2020-08-04,Austrilian Dollar,AUD=X,0.7123,0.7167,0.7106,0.716,142537.0
2020-07-06,Japanese Yen,JPY=X,107.489,107.77,107.255,107.36,102396.0
2020-07-07,Japanese Yen,JPY=X,107.359,107.788,107.246,107.509,111837.0
2020-07-08,Japanese Yen,JPY=X,107.507,107.706,107.196,107.255,117636.0
2020-07-09,Japanese Yen,JPY=X,107.254,107.394,107.098,107.197,139199.0
2020-07-10,Japanese Yen,JPY=X,107.196,107.261,106.648,106.921,133070.0
2020-07-13,Japanese Yen,JPY=X,106.882,107.316,106.779,107.284,111094.0
2020-07-14,Japanese Yen,JPY=X,107.285,107.426,107.11,107.232,139834.0
2020-07-15,Japanese Yen,JPY=X,107.227,107.306,106.663,106.928,128373.0
2020-07-16,Japanese Yen,JPY=X,106.925,107.398,106.832,107.259,128173.0
2020-07-17,Japanese Yen,JPY=X,107.255,107.359,106.936,107.03,105163.0
2020-07-20,Japanese Yen,JPY=X,107.112,107.52,107.007,107.267,124157.0
2020-07-21,Japanese Yen,JPY=X,107.264,107.363,106.682,106.79,137817.0
2020-07-22,Japanese Yen,JPY=X,106.79,107.288,106.701,107.153,138804.0
2020-07-23,Japanese Yen,JPY=X,107.153,107.228,106.708,106.854,120586.0
2020-07-24,Japanese Yen,JPY=X,106.852,106.879,105.682,106.122,166965.0
2020-07-27,Japanese Yen,JPY=X,106.033,106.102,105.117,105.37,169586.0
2020-07-28,Japanese Yen,JPY=X,105.37,105.683,104.955,105.083,173622.0
2020-07-29,Japanese Yen,JPY=X,105.083,105.238,104.77,104.914,168355.0
2020-07-30,Japanese Yen,JPY=X,104.914,105.29,104.677,104.724,177559.0
2020-07-31,Japanese Yen,JPY=X,104.723,106.05,104.188,105.843,241412.0
2020-08-03,Japanese Yen,JPY=X,105.758,106.468,105.58,105.946,221881.0
2020-08-04,Japanese Yen,JPY=X,105.94,106.192,105.635,105.714,158958.0
