Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-07-26,Class III Milk Future (front month) (September),DCQ2,20.82,21.2,20.73,21.17,360.0
2022-07-27,Class III Milk Future (front month) (September),DCQ2,21.2,21.33,20.5,20.67,367.0
2022-07-28,Class III Milk Future (front month) (September),DCQ2,20.55,20.76,20.07,20.17,622.0
2022-07-29,Class III Milk Future (front month) (September),DCQ2,20.19,20.58,20.1,20.41,274.0
2022-08-01,Class III Milk Future (front month) (September),DCQ2,20.24,20.63,20.18,20.46,362.0
2022-08-02,Class III Milk Future (front month) (September),DCQ2,20.4,20.51,20.26,20.43,296.0
2022-08-03,Class III Milk Future (front month) (September),DCQ2,20.41,20.42,20.05,20.15,200.0
2022-08-04,Class III Milk Future (front month) (September),DCQ2,20.09,20.15,19.83,19.94,206.0
2022-08-05,Class III Milk Future (front month) (September),DCQ2,19.91,20.09,19.86,20.02,162.0
2022-08-08,Class III Milk Future (front month) (September),DCQ2,20.1,20.1,19.91,19.95,51.0
2022-08-09,Class III Milk Future (front month) (September),DCQ2,19.99,20.09,19.97,20.09,127.0
2022-08-10,Class III Milk Future (front month) (September),DCQ2,20.05,20.15,19.98,20.03,198.0
2022-08-11,Class III Milk Future (front month) (September),DCQ2,20.11,20.15,20.07,20.13,100.0
2022-08-12,Class III Milk Future (front month) (September),DCQ2,20.12,20.16,20.1,20.15,77.0
2022-08-15,Class III Milk Future (front month) (September),DCQ2,20.13,20.16,20.1,20.16,33.0
2022-08-16,Class III Milk Future (front month) (September),DCQ2,20.12,20.19,20.12,20.17,93.0
2022-08-17,Class III Milk Future (front month) (September),DCQ2,20.12,20.19,20.08,20.17,182.0
2022-08-18,Class III Milk Future (front month) (September),DCQ2,20.07,20.12,20.05,20.08,115.0
2022-08-19,Class III Milk Future (front month) (September),DCQ2,20.08,20.08,20.05,20.08,289.0
2022-08-22,Class III Milk Future (front month) (September),DCQ2,20.07,20.09,20.07,20.09,37.0
2022-08-23,Class III Milk Future (front month) (September),DCQ2,20.08,20.08,20.07,20.08,80.0
2022-08-24,Class III Milk Future (front month) (September),DCQ2,20.07,20.09,20.06,20.06,95.0
2022-08-25,Class III Milk Future (front month) (September),DCQ2,20.11,20.14,20.11,20.11,130.0
2022-07-26,Class III Milk Future (second month) (October),DCU2,20.57,20.92,20.54,20.74,446.0
2022-07-27,Class III Milk Future (second month) (October),DCU2,20.92,20.99,20.2,20.32,385.0
2022-07-28,Class III Milk Future (second month) (October),DCU2,20.21,20.27,19.69,19.83,790.0
2022-07-29,Class III Milk Future (second month) (October),DCU2,19.8,20.5,19.8,20.31,305.0
2022-08-01,Class III Milk Future (second month) (October),DCU2,20.27,20.82,20.13,20.5,454.0
2022-08-02,Class III Milk Future (second month) (October),DCU2,20.4,20.5,20.14,20.4,342.0
2022-08-03,Class III Milk Future (second month) (October),DCU2,20.4,20.4,19.82,19.9,547.0
2022-08-04,Class III Milk Future (second month) (October),DCU2,19.8,19.88,19.38,19.48,367.0
2022-08-05,Class III Milk Future (second month) (October),DCU2,19.48,19.55,19.07,19.3,335.0
2022-08-08,Class III Milk Future (second month) (October),DCU2,19.55,19.58,19.05,19.4,235.0
2022-08-09,Class III Milk Future (second month) (October),DCU2,19.52,19.94,19.4,19.87,297.0
2022-08-10,Class III Milk Future (second month) (October),DCU2,19.87,20.47,19.87,20.21,463.0
2022-08-11,Class III Milk Future (second month) (October),DCU2,20.4,20.42,19.95,20.1,322.0
2022-08-12,Class III Milk Future (second month) (October),DCU2,20.05,20.08,19.59,19.8,220.0
2022-08-15,Class III Milk Future (second month) (October),DCU2,19.9,20.43,19.62,20.35,452.0
2022-08-16,Class III Milk Future (second month) (October),DCU2,20.35,21.1,20.27,20.87,921.0
2022-08-17,Class III Milk Future (second month) (October),DCU2,20.87,21.0,20.4,20.67,602.0
2022-08-18,Class III Milk Future (second month) (October),DCU2,20.61,20.66,20.16,20.26,314.0
2022-08-19,Class III Milk Future (second month) (October),DCU2,20.06,20.26,19.64,19.73,504.0
2022-08-22,Class III Milk Future (second month) (October),DCU2,19.67,20.15,19.6,19.96,358.0
2022-08-23,Class III Milk Future (second month) (October),DCU2,20.13,20.62,19.91,20.2,1027.0
2022-08-24,Class III Milk Future (second month) (October),DCU2,20.51,20.54,19.8,19.99,408.0
2022-08-25,Class III Milk Future (second month) (October),DCU2,20.0,20.19,19.9,20.01,512.0
2022-07-26,Class III Milk Future (third month) (November),DCV2,20.9,21.05,20.83,21.01,156.0
2022-07-27,Class III Milk Future (third month) (November),DCV2,21.25,21.25,20.59,20.74,208.0
2022-07-28,Class III Milk Future (third month) (November),DCV2,20.6,20.6,20.05,20.18,121.0
2022-07-29,Class III Milk Future (third month) (November),DCV2,20.37,20.78,20.26,20.56,119.0
2022-08-01,Class III Milk Future (third month) (November),DCV2,20.7,21.0,20.66,20.92,345.0
2022-08-02,Class III Milk Future (third month) (November),DCV2,20.78,20.82,20.63,20.78,156.0
2022-08-03,Class III Milk Future (third month) (November),DCV2,20.67,20.67,20.26,20.39,164.0
2022-08-04,Class III Milk Future (third month) (November),DCV2,20.24,20.37,19.93,20.06,219.0
2022-08-05,Class III Milk Future (third month) (November),DCV2,19.91,20.12,19.88,20.06,106.0
2022-08-08,Class III Milk Future (third month) (November),DCV2,20.15,20.2,19.73,20.05,172.0
2022-08-09,Class III Milk Future (third month) (November),DCV2,20.08,20.46,20.07,20.42,244.0
2022-08-10,Class III Milk Future (third month) (November),DCV2,20.56,21.0,20.46,20.84,213.0
2022-08-11,Class III Milk Future (third month) (November),DCV2,21.1,21.11,20.59,20.81,159.0
2022-08-12,Class III Milk Future (third month) (November),DCV2,20.63,20.63,20.19,20.36,163.0
2022-08-15,Class III Milk Future (third month) (November),DCV2,20.46,20.81,20.13,20.79,281.0
2022-08-16,Class III Milk Future (third month) (November),DCV2,20.6,21.51,20.56,20.98,353.0
2022-08-17,Class III Milk Future (third month) (November),DCV2,20.98,21.3,20.61,20.8,234.0
2022-08-18,Class III Milk Future (third month) (November),DCV2,20.64,20.8,20.27,20.3,161.0
2022-08-19,Class III Milk Future (third month) (November),DCV2,20.18,20.3,19.84,20.0,388.0
2022-08-22,Class III Milk Future (third month) (November),DCV2,19.8,20.35,19.8,20.09,219.0
2022-08-23,Class III Milk Future (third month) (November),DCV2,20.35,20.84,20.08,20.65,674.0
2022-08-24,Class III Milk Future (third month) (November),DCV2,20.74,20.82,20.24,20.35,189.0
2022-08-25,Class III Milk Future (third month) (November),DCV2,20.32,20.73,20.28,20.36,269.0
2022-07-26,Class IV Milk Future (front month) (September),GDKQ2,24.58,24.6,24.56,24.58,5.0
