Date,Product Name,Symbol,Open,High,Low,Close,Volume
2020-09-28,S&P 500,^GSPC,3333.9,3360.74,3332.91,3351.6,
2020-09-29,S&P 500,^GSPC,3350.92,3357.92,3327.54,3335.47,
2020-09-30,S&P 500,^GSPC,3341.21,3393.56,3340.47,3363.0,
2020-10-01,S&P 500,^GSPC,3385.87,3397.18,3361.39,3380.8,
2020-10-02,S&P 500,^GSPC,3338.94,3369.1,3323.69,3348.44,
2020-10-05,S&P 500,^GSPC,3367.27,3409.57,3367.27,3408.63,
2020-10-06,S&P 500,^GSPC,3408.74,3431.56,3354.54,3360.95,
2020-10-07,S&P 500,^GSPC,3384.56,3426.26,3384.56,3419.45,
2020-10-08,S&P 500,^GSPC,3434.28,3447.28,3428.15,3446.83,
2020-10-09,S&P 500,^GSPC,3459.67,3482.34,3458.07,3477.13,
2020-10-12,S&P 500,^GSPC,3500.02,3549.85,3499.61,3534.22,
2020-10-13,S&P 500,^GSPC,3534.01,3534.01,3500.86,3511.93,
2020-10-14,S&P 500,^GSPC,3515.47,3527.94,3480.55,3488.67,
2020-10-15,S&P 500,^GSPC,3453.72,3489.08,3440.89,3483.34,
2020-10-16,S&P 500,^GSPC,3493.5,3515.76,3480.45,3483.81,
2020-10-19,S&P 500,^GSPC,3493.66,3502.42,3419.93,3426.92,
2020-10-20,S&P 500,^GSPC,3439.38,3476.93,3435.65,3443.12,
2020-10-21,S&P 500,^GSPC,3439.91,3464.86,3433.06,3435.56,
2020-10-22,S&P 500,^GSPC,3438.5,3460.53,3415.34,3453.49,
2020-10-23,S&P 500,^GSPC,3464.9,3466.46,3440.45,3465.39,
2020-10-26,S&P 500,^GSPC,3441.42,3441.42,3364.86,3400.97,
2020-10-27,S&P 500,^GSPC,3403.15,3409.51,3388.71,3390.68,
2020-10-28,S&P 500,^GSPC,3342.48,3342.48,3268.89,3271.03,
2020-09-28,NASDAQ Composite,^IXIC,11084.38,11120.79,11019.14,11117.53,0.0
2020-09-29,NASDAQ Composite,^IXIC,11109.0,11153.23,11065.63,11085.25,0.0
2020-09-30,NASDAQ Composite,^IXIC,11092.9,11277.96,11092.9,11167.51,0.0
2020-10-01,NASDAQ Composite,^IXIC,11291.99,11344.13,11240.53,11326.51,0.0
2020-10-02,NASDAQ Composite,^IXIC,11082.53,11244.87,11033.69,11075.02,0.0
2020-10-05,NASDAQ Composite,^IXIC,11169.11,11335.21,11162.52,11332.49,0.0
2020-10-06,NASDAQ Composite,^IXIC,11314.53,11392.41,11124.45,11154.6,0.0
2020-10-07,NASDAQ Composite,^IXIC,11271.68,11380.56,11258.35,11364.6,0.0
2020-10-08,NASDAQ Composite,^IXIC,11443.35,11448.23,11384.33,11420.98,0.0
