Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-11-21,S&P 500,^GSPC,3956.23,3962.0,3933.34,3949.94,
2022-11-22,S&P 500,^GSPC,3965.51,4005.88,3956.88,4003.58,
2022-11-23,S&P 500,^GSPC,4000.3,4033.78,3998.66,4027.26,
2022-11-25,S&P 500,^GSPC,4023.34,4034.02,4020.76,4026.12,
2022-11-28,S&P 500,^GSPC,4005.36,4012.27,3955.77,3963.94,
2022-11-29,S&P 500,^GSPC,3964.19,3976.77,3937.65,3957.63,
2022-11-30,S&P 500,^GSPC,3957.18,4080.11,3938.58,4080.11,
2022-12-01,S&P 500,^GSPC,4087.14,4100.51,4050.87,4076.57,
2022-12-02,S&P 500,^GSPC,4040.17,4080.48,4026.63,4071.7,
2022-12-05,S&P 500,^GSPC,4052.02,4052.45,3984.49,3998.84,
2022-12-06,S&P 500,^GSPC,3996.63,4001.51,3918.39,3941.26,
2022-12-07,S&P 500,^GSPC,3933.28,3957.57,3922.68,3933.92,
2022-12-08,S&P 500,^GSPC,3947.79,3974.19,3935.83,3963.51,
2022-12-09,S&P 500,^GSPC,3954.17,3977.02,3933.04,3934.38,
2022-12-12,S&P 500,^GSPC,3939.29,3990.71,3935.3,3990.56,
2022-12-13,S&P 500,^GSPC,4069.38,4100.96,3993.03,4019.65,
2022-12-14,S&P 500,^GSPC,4015.54,4053.76,3965.65,3995.32,
2022-12-15,S&P 500,^GSPC,3958.37,3958.37,3879.45,3895.75,
2022-12-16,S&P 500,^GSPC,3890.91,3890.91,3827.91,3852.36,
2022-12-19,S&P 500,^GSPC,3853.79,3854.86,3800.04,3817.66,
2022-12-20,S&P 500,^GSPC,3810.47,3838.24,3795.62,3821.62,
2022-12-21,S&P 500,^GSPC,3839.49,3889.82,3839.49,3878.44,
2022-11-21,NASDAQ Composite,^IXIC,11102.5,11128.78,10999.75,11024.51,0.0
2022-11-22,NASDAQ Composite,^IXIC,11058.56,11179.78,10975.66,11174.41,0.0
2022-11-23,NASDAQ Composite,^IXIC,11174.61,11310.82,11174.61,11285.32,0.0
2022-11-25,NASDAQ Composite,^IXIC,11231.0,11261.57,11206.38,11226.36,0.0
2022-11-28,NASDAQ Composite,^IXIC,11147.57,11217.75,11020.69,11049.5,0.0
2022-11-29,NASDAQ Composite,^IXIC,11060.02,11086.02,10944.37,10983.78,0.0
2022-11-30,NASDAQ Composite,^IXIC,11002.13,11468.0,10966.53,11468.0,0.0
2022-12-01,NASDAQ Composite,^IXIC,11476.28,11546.77,11378.75,11482.45,0.0
2022-12-02,NASDAQ Composite,^IXIC,11308.9,11492.32,11296.72,11461.5,0.0
2022-12-05,NASDAQ Composite,^IXIC,11386.45,11425.51,11193.02,11239.94,0.0
2022-12-06,NASDAQ Composite,^IXIC,11237.61,11241.42,10956.2,11014.89,0.0
2022-12-07,NASDAQ Composite,^IXIC,10970.97,11039.81,10910.62,10958.55,0.0
2022-12-08,NASDAQ Composite,^IXIC,11009.68,11119.16,10939.47,11082.0,0.0
2022-12-09,NASDAQ Composite,^IXIC,11041.6,11138.7,11001.11,11004.62,0.0
2022-12-12,NASDAQ Composite,^IXIC,11015.9,11144.67,10984.82,11143.74,0.0
2022-12-13,NASDAQ Composite,^IXIC,11542.84,11567.47,11160.54,11256.81,0.0
2022-12-14,NASDAQ Composite,^IXIC,11245.4,11352.09,11073.59,11170.89,0.0
2022-12-15,NASDAQ Composite,^IXIC,11014.68,11028.19,10775.61,10810.53,0.0
2022-12-16,NASDAQ Composite,^IXIC,10766.0,10830.13,10642.1,10705.41,0.0
2022-12-19,NASDAQ Composite,^IXIC,10711.16,10713.97,10497.55,10546.03,0.0
2022-12-20,NASDAQ Composite,^IXIC,10487.94,10609.46,10446.82,10547.11,0.0
2022-12-21,NASDAQ Composite,^IXIC,10592.0,10753.57,10572.89,10709.37,0.0
2022-11-21,Dow Jones Industrial Average,^DJI,33760.3,33864.59,33559.18,33700.28,
2022-11-22,Dow Jones Industrial Average,^DJI,33810.05,34115.7,33810.05,34098.1,
2022-11-23,Dow Jones Industrial Average,^DJI,34091.57,34262.07,34004.64,34194.06,
2022-11-25,Dow Jones Industrial Average,^DJI,34213.04,34386.51,34199.57,34347.03,
2022-11-28,Dow Jones Industrial Average,^DJI,34275.91,34303.88,33799.35,33849.46,
2022-11-29,Dow Jones Industrial Average,^DJI,33847.8,33933.91,33662.45,33852.53,
2022-11-30,Dow Jones Industrial Average,^DJI,33795.43,34589.77,33583.77,34589.77,
2022-12-01,Dow Jones Industrial Average,^DJI,34533.59,34595.51,34129.35,34395.01,
2022-12-02,Dow Jones Industrial Average,^DJI,34265.45,34483.21,34039.73,34429.88,
2022-12-05,Dow Jones Industrial Average,^DJI,34335.73,34335.73,33846.81,33947.1,
2022-12-06,Dow Jones Industrial Average,^DJI,33936.87,34006.63,33418.59,33596.34,
2022-12-07,Dow Jones Industrial Average,^DJI,33556.4,33774.27,33503.67,33597.92,
2022-12-08,Dow Jones Industrial Average,^DJI,33695.97,33899.17,33642.46,33781.48,
2022-12-09,Dow Jones Industrial Average,^DJI,33746.71,33844.63,33462.65,33476.46,
2022-12-12,Dow Jones Industrial Average,^DJI,33519.5,34005.04,33519.5,34005.04,
2022-12-13,Dow Jones Industrial Average,^DJI,34268.44,34712.28,33890.88,34108.64,
2022-12-14,Dow Jones Industrial Average,^DJI,34086.07,34395.65,33704.17,33966.35,
2022-12-15,Dow Jones Industrial Average,^DJI,33773.0,33773.0,33016.16,33202.22,
2022-12-16,Dow Jones Industrial Average,^DJI,33166.46,33166.46,32654.59,32920.46,
2022-12-19,Dow Jones Industrial Average,^DJI,32921.45,33038.94,32581.97,32757.54,
2022-12-20,Dow Jones Industrial Average,^DJI,32735.24,32992.23,32649.45,32849.74,
2022-12-21,Dow Jones Industrial Average,^DJI,33028.09,33437.84,33028.09,33376.48,
2022-11-21,NASDAQ 100,^NDX,11623.35,11664.94,11524.44,11553.45,
