Date,Product Name,Symbol,Open,High,Low,Close,Volume
2021-07-19,Gold,^XAU,1811.24,1816.37,1795.89,1812.49,5946.0
2021-07-20,Gold,^XAU,1812.37,1823.69,1805.77,1810.0,6590.0
2021-07-21,Gold,^XAU,1810.0,1813.13,1796.45,1803.15,6202.0
2021-07-22,Gold,^XAU,1803.18,1807.58,1793.41,1806.41,6187.0
2021-07-23,Gold,^XAU,1806.35,1809.68,1793.21,1801.7,6104.0
2021-07-26,Gold,^XAU,1801.68,1810.88,1796.47,1797.22,6352.0
2021-07-27,Gold,^XAU,1797.26,1804.6,1793.74,1798.64,6416.0
2021-07-28,Gold,^XAU,1798.62,1808.88,1795.71,1806.65,6444.0
2021-07-29,Gold,^XAU,1806.6,1832.17,1805.47,1827.74,6548.0
2021-07-30,Gold,^XAU,1827.77,1830.86,1810.39,1813.78,7348.0
2021-08-02,Gold,^XAU,1813.72,1819.21,1806.56,1813.1,6493.0
2021-08-03,Gold,^XAU,1813.11,1813.71,1807.62,1810.13,7031.0
2021-08-04,Gold,^XAU,1810.12,1830.87,1806.94,1811.59,6959.0
2021-08-05,Gold,^XAU,1811.61,1814.28,1799.01,1803.86,7159.0
2021-08-06,Gold,^XAU,1803.88,1804.45,1759.06,1763.16,6977.0
2021-08-09,Gold,^XAU,1763.2,1763.43,1693.69,1729.29,7099.0
2021-08-10,Gold,^XAU,1729.28,1737.31,1719.31,1728.52,6990.0
2021-08-11,Gold,^XAU,1728.48,1753.19,1725.04,1751.4,6106.0
2021-08-12,Gold,^XAU,1751.3,1757.44,1744.88,1752.72,5904.0
2021-08-13,Gold,^XAU,1752.72,1779.38,1752.17,1779.33,6252.0
2021-08-16,Gold,^XAU,1779.31,1788.63,1771.17,1786.96,6619.0
2021-08-17,Gold,^XAU,1787.0,1794.94,1781.07,1785.83,6339.0
2021-08-18,Gold,^XAU,1785.9,1793.35,1778.64,1787.23,6467.0
2021-07-19,Dollar Index,DX-Y.NYB,92.71,93.04,92.64,92.89,0.0
2021-07-20,Dollar Index,DX-Y.NYB,92.88,93.17,92.8,92.97,0.0
2021-07-21,Dollar Index,DX-Y.NYB,92.96,93.19,92.74,92.75,0.0
2021-07-22,Dollar Index,DX-Y.NYB,92.8,92.92,92.51,92.82,0.0
2021-07-23,Dollar Index,DX-Y.NYB,92.83,93.02,92.78,92.91,0.0
2021-07-26,Dollar Index,DX-Y.NYB,92.89,92.96,92.53,92.65,0.0
2021-07-27,Dollar Index,DX-Y.NYB,92.6,92.84,92.32,92.43,0.0
2021-07-28,Dollar Index,DX-Y.NYB,92.46,92.75,92.28,92.32,0.0
2021-07-29,Dollar Index,DX-Y.NYB,92.26,92.29,91.86,91.86,0.0
2021-07-30,Dollar Index,DX-Y.NYB,91.88,92.2,91.78,92.17,0.0
2021-08-02,Dollar Index,DX-Y.NYB,92.11,92.17,91.91,92.05,0.0
2021-08-03,Dollar Index,DX-Y.NYB,92.04,92.16,91.89,92.08,0.0
2021-08-04,Dollar Index,DX-Y.NYB,92.03,92.31,91.82,92.27,0.0
2021-08-05,Dollar Index,DX-Y.NYB,92.28,92.35,92.12,92.24,0.0
2021-08-06,Dollar Index,DX-Y.NYB,92.27,92.84,92.26,92.8,0.0
2021-08-09,Dollar Index,DX-Y.NYB,92.78,92.97,92.72,92.94,0.0
2021-08-10,Dollar Index,DX-Y.NYB,92.98,93.14,92.94,93.06,0.0
2021-08-11,Dollar Index,DX-Y.NYB,93.07,93.19,92.8,92.92,0.0
2021-08-12,Dollar Index,DX-Y.NYB,92.89,93.04,92.85,93.04,0.0
2021-08-13,Dollar Index,DX-Y.NYB,92.98,93.01,92.47,92.52,0.0
2021-08-16,Dollar Index,DX-Y.NYB,92.52,92.66,92.48,92.63,0.0
2021-08-17,Dollar Index,DX-Y.NYB,92.62,93.16,92.61,93.13,0.0
2021-08-18,Dollar Index,DX-Y.NYB,93.14,93.26,92.96,93.14,0.0
2021-07-19,Silver,SI-F,25.65,25.74,25.01,25.16,4819.0
2021-07-20,Silver,SI-F,25.16,25.24,24.81,24.91,5118.0
2021-07-21,Silver,SI-F,24.92,25.29,24.78,25.26,5043.0
2021-07-22,Silver,SI-F,25.26,25.44,25.01,25.4,4928.0
2021-07-23,Silver,SI-F,25.4,25.44,25.02,25.16,4952.0
2021-07-26,Silver,SI-F,25.16,25.41,25.14,25.17,4834.0
2021-07-27,Silver,SI-F,25.17,25.33,24.49,24.68,4915.0
2021-07-28,Silver,SI-F,24.68,24.98,24.66,24.96,4963.0
2021-07-29,Silver,SI-F,24.96,25.77,24.96,25.5,5017.0
2021-07-30,Silver,SI-F,25.5,25.61,25.34,25.47,5300.0
2021-08-02,Silver,SI-F,25.47,25.58,25.32,25.39,5074.0
2021-08-03,Silver,SI-F,25.39,25.56,25.24,25.51,5209.0
