Date,Product Name,Symbol,Open,High,Low,Close,Volume
2020-03-23,Gold,^XAU,1507.99,1559.52,1486.21,1550.79,5381.0
2020-03-24,Gold,^XAU,1550.66,1627.45,1549.7,1619.95,3971.0
2020-03-25,Gold,^XAU,1616.03,1634.64,1599.28,1615.45,4161.0
2020-03-26,Gold,^XAU,1613.92,1638.61,1597.45,1627.82,4494.0
2020-03-27,Gold,^XAU,1627.61,1630.21,1614.63,1620.51,4827.0
2020-03-30,Gold,^XAU,1621.25,1628.54,1611.49,1620.75,5289.0
2020-03-31,Gold,^XAU,1621.0,1622.23,1571.61,1575.28,6316.0
2020-04-01,Gold,^XAU,1573.53,1597.36,1564.96,1590.02,5481.0
2020-04-02,Gold,^XAU,1589.94,1617.46,1581.02,1610.34,6220.0
2020-04-03,Gold,^XAU,1610.67,1622.83,1607.57,1614.83,5963.0
2020-04-06,Gold,^XAU,1614.89,1666.11,1611.27,1657.37,5673.0
2020-04-07,Gold,^XAU,1657.96,1666.41,1644.64,1647.03,5038.0
2020-04-08,Gold,^XAU,1646.89,1654.01,1643.77,1644.76,5795.0
2020-04-09,Gold,^XAU,1644.71,1687.42,1643.69,1681.43,5715.0
2020-04-10,Gold,^XAU,1681.41,1686.01,1680.05,1684.62,1088.0
2020-04-13,Gold,^XAU,1684.56,1720.26,1677.31,1711.03,5324.0
2020-04-14,Gold,^XAU,1711.25,1744.37,1709.53,1726.16,5584.0
2020-04-15,Gold,^XAU,1726.29,1729.07,1709.39,1716.01,6176.0
2020-04-16,Gold,^XAU,1715.89,1736.85,1710.96,1717.22,5790.0
2020-04-17,Gold,^XAU,1716.81,1717.03,1679.96,1680.42,6093.0
2020-04-20,Gold,^XAU,1680.65,1700.08,1672.32,1694.1,6033.0
2020-04-21,Gold,^XAU,1693.88,1695.71,1663.76,1683.33,5897.0
2020-04-22,Gold,^XAU,1683.71,1716.76,1680.65,1713.94,6455.0
2020-03-23,Dollar Index,DX-Y.NYB,102.36,102.98,101.65,102.49,0.0
