Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-10-05,Lean Hogs Future (front month) (December),HEZ2,74.82,76.75,74.1,76.5,23357.0
2022-10-06,Lean Hogs Future (front month) (December),HEZ2,77.5,78.1,77.05,77.78,16587.0
2022-10-07,Lean Hogs Future (front month) (December),HEZ2,78.35,78.35,76.58,77.15,14991.0
2022-10-10,Lean Hogs Future (front month) (December),HEZ2,78.0,79.88,77.9,79.6,24788.0
2022-10-11,Lean Hogs Future (front month) (December),HEZ2,79.47,79.95,78.68,79.53,17245.0
2022-10-12,Lean Hogs Future (front month) (December),HEZ2,80.0,80.82,79.2,80.7,18267.0
2022-10-13,Lean Hogs Future (front month) (December),HEZ2,80.68,81.15,79.58,80.6,15438.0
2022-10-14,Lean Hogs Future (front month) (December),HEZ2,80.78,82.6,80.28,82.25,21248.0
2022-10-17,Lean Hogs Future (front month) (December),HEZ2,82.48,85.1,81.4,84.95,27108.0
2022-10-18,Lean Hogs Future (front month) (December),HEZ2,84.98,86.75,84.65,86.48,27232.0
2022-10-19,Lean Hogs Future (front month) (December),HEZ2,86.72,87.5,86.25,87.38,21745.0
2022-10-20,Lean Hogs Future (front month) (December),HEZ2,87.3,87.38,86.05,87.02,15118.0
2022-10-21,Lean Hogs Future (front month) (December),HEZ2,86.9,89.8,86.6,89.12,23939.0
2022-10-24,Lean Hogs Future (front month) (December),HEZ2,88.52,88.9,87.68,87.92,26645.0
2022-10-25,Lean Hogs Future (front month) (December),HEZ2,88.12,89.02,87.28,88.45,25855.0
2022-10-26,Lean Hogs Future (front month) (December),HEZ2,88.12,89.55,87.78,88.5,23365.0
2022-10-27,Lean Hogs Future (front month) (December),HEZ2,87.88,88.28,84.68,85.12,30197.0
2022-10-28,Lean Hogs Future (front month) (December),HEZ2,85.65,86.65,84.78,86.1,22525.0
2022-10-31,Lean Hogs Future (front month) (December),HEZ2,86.62,86.82,84.42,84.92,25454.0
2022-11-01,Lean Hogs Future (front month) (December),HEZ2,84.65,85.85,84.65,85.2,18193.0
2022-11-02,Lean Hogs Future (front month) (December),HEZ2,84.5,84.85,83.25,83.3,24268.0
2022-11-03,Lean Hogs Future (front month) (December),HEZ2,83.3,84.75,83.2,83.38,16938.0
2022-11-04,Lean Hogs Future (front month) (December),HEZ2,84.18,84.18,82.82,82.98,19869.0
2022-10-05,Lean Hogs Future (second month) (February),HEG3,77.7,79.15,77.0,78.88,10211.0
2022-10-06,Lean Hogs Future (second month) (February),HEG3,79.75,80.62,79.6,80.3,7676.0
2022-10-07,Lean Hogs Future (second month) (February),HEG3,80.55,80.92,79.47,79.95,6046.0
2022-10-10,Lean Hogs Future (second month) (February),HEG3,80.5,81.42,80.45,81.0,13659.0
2022-10-11,Lean Hogs Future (second month) (February),HEG3,80.97,81.28,80.35,81.05,8694.0
2022-10-12,Lean Hogs Future (second month) (February),HEG3,81.28,81.95,80.6,81.88,7182.0
2022-10-13,Lean Hogs Future (second month) (February),HEG3,81.72,82.08,80.9,81.72,7306.0
2022-10-14,Lean Hogs Future (second month) (February),HEG3,81.78,83.68,81.3,83.42,6895.0
2022-10-17,Lean Hogs Future (second month) (February),HEG3,83.58,86.1,83.02,85.98,9484.0
2022-10-18,Lean Hogs Future (second month) (February),HEG3,86.05,87.88,85.68,87.8,9673.0
2022-10-19,Lean Hogs Future (second month) (February),HEG3,88.0,89.05,87.62,89.0,10056.0
2022-10-20,Lean Hogs Future (second month) (February),HEG3,89.05,89.2,88.1,89.1,8259.0
2022-10-21,Lean Hogs Future (second month) (February),HEG3,88.85,90.82,88.68,90.52,12080.0
2022-10-24,Lean Hogs Future (second month) (February),HEG3,89.92,90.7,89.22,90.45,11629.0
2022-10-25,Lean Hogs Future (second month) (February),HEG3,90.45,91.15,89.72,90.68,9591.0
2022-10-26,Lean Hogs Future (second month) (February),HEG3,90.48,91.8,90.3,91.0,10282.0
2022-10-27,Lean Hogs Future (second month) (February),HEG3,90.38,90.62,87.78,88.15,10752.0
2022-10-28,Lean Hogs Future (second month) (February),HEG3,88.32,89.5,87.65,88.85,8148.0
2022-10-31,Lean Hogs Future (second month) (February),HEG3,89.12,89.55,87.95,88.45,13272.0
2022-11-01,Lean Hogs Future (second month) (February),HEG3,88.18,89.35,88.15,88.45,11257.0
2022-11-02,Lean Hogs Future (second month) (February),HEG3,87.98,88.08,86.95,87.2,13556.0
2022-11-03,Lean Hogs Future (second month) (February),HEG3,87.18,88.35,87.02,87.18,10816.0
2022-11-04,Lean Hogs Future (second month) (February),HEG3,87.88,87.92,86.4,86.42,12232.0
2022-10-05,Lean Hogs Future (third month) (April),HEJ3,83.3,84.92,83.0,84.52,4436.0
2022-10-06,Lean Hogs Future (third month) (April),HEJ3,85.4,85.85,85.02,85.62,3658.0
2022-10-07,Lean Hogs Future (third month) (April),HEJ3,85.75,86.1,85.0,85.4,4612.0
2022-10-10,Lean Hogs Future (third month) (April),HEJ3,85.72,86.18,84.6,84.7,10156.0
2022-10-11,Lean Hogs Future (third month) (April),HEJ3,84.52,85.2,84.25,84.9,4518.0
2022-10-12,Lean Hogs Future (third month) (April),HEJ3,85.3,85.68,84.6,85.55,4667.0
2022-10-13,Lean Hogs Future (third month) (April),HEJ3,85.48,85.6,84.72,85.4,4277.0
2022-10-14,Lean Hogs Future (third month) (April),HEJ3,85.58,87.2,85.02,86.95,4771.0
2022-10-17,Lean Hogs Future (third month) (April),HEJ3,87.35,89.7,86.75,89.6,4361.0
2022-10-18,Lean Hogs Future (third month) (April),HEJ3,89.68,91.85,89.48,91.75,4849.0
2022-10-19,Lean Hogs Future (third month) (April),HEJ3,91.9,92.82,91.78,92.75,4875.0
2022-10-20,Lean Hogs Future (third month) (April),HEJ3,92.72,93.15,92.25,93.12,3106.0
2022-10-21,Lean Hogs Future (third month) (April),HEJ3,92.88,94.2,92.75,93.85,5761.0
2022-10-24,Lean Hogs Future (third month) (April),HEJ3,93.52,94.0,92.8,93.9,3684.0
2022-10-25,Lean Hogs Future (third month) (April),HEJ3,93.75,94.25,93.22,93.95,3439.0
2022-10-26,Lean Hogs Future (third month) (April),HEJ3,93.65,94.68,93.62,94.18,4430.0
2022-10-27,Lean Hogs Future (third month) (April),HEJ3,93.75,93.88,91.7,92.12,4571.0
2022-10-28,Lean Hogs Future (third month) (April),HEJ3,92.1,93.28,91.7,92.7,3687.0
2022-10-31,Lean Hogs Future (third month) (April),HEJ3,93.25,93.8,92.05,93.6,8945.0
2022-11-01,Lean Hogs Future (third month) (April),HEJ3,93.28,94.48,93.25,93.6,7432.0
2022-11-02,Lean Hogs Future (third month) (April),HEJ3,93.0,93.1,92.32,92.65,4517.0
2022-11-03,Lean Hogs Future (third month) (April),HEJ3,92.65,93.38,92.38,92.55,3991.0
2022-11-04,Lean Hogs Future (third month) (April),HEJ3,93.1,93.2,92.25,92.4,4875.0
