Date,Product Name,Symbol,Open,High,Low,Close,Volume
2021-10-25,WTI Crude Oil,CL=F,83.98,85.41,83.39,83.71,552769.0
2021-10-26,WTI Crude Oil,CL=F,83.72,84.88,82.97,84.65,450497.0
2021-10-27,WTI Crude Oil,CL=F,84.39,84.51,82.01,82.66,514578.0
2021-10-28,WTI Crude Oil,CL=F,82.25,83.21,80.58,82.81,465907.0
2021-10-29,WTI Crude Oil,CL=F,83.09,83.74,81.41,83.57,480154.0
2021-11-01,WTI Crude Oil,CL=F,83.36,84.88,82.74,84.05,391380.0
2021-11-02,WTI Crude Oil,CL=F,83.87,84.41,82.92,83.91,406851.0
2021-11-03,WTI Crude Oil,CL=F,83.07,83.08,79.69,80.86,521441.0
2021-11-04,WTI Crude Oil,CL=F,80.18,83.42,78.25,78.81,679979.0
2021-11-05,WTI Crude Oil,CL=F,79.37,81.8,78.96,81.27,495564.0
2021-11-08,WTI Crude Oil,CL=F,81.13,82.67,81.05,81.93,362989.0
2021-11-09,WTI Crude Oil,CL=F,82.16,84.63,81.78,84.15,469906.0
2021-11-10,WTI Crude Oil,CL=F,84.53,84.97,80.81,81.34,517666.0
2021-11-11,WTI Crude Oil,CL=F,81.41,82.33,80.2,81.59,438940.0
2021-11-12,WTI Crude Oil,CL=F,81.21,81.62,79.78,80.79,366085.0
2021-11-15,WTI Crude Oil,CL=F,80.66,81.2,79.3,80.88,315309.0
2021-11-16,WTI Crude Oil,CL=F,80.93,81.81,80.03,80.76,298561.0
2021-11-17,WTI Crude Oil,CL=F,80.54,80.69,77.69,78.36,151244.0
2021-11-18,WTI Crude Oil,CL=F,78.34,79.36,77.08,79.01,45129.0
2021-11-19,WTI Crude Oil,CL=F,78.76,79.92,75.37,76.1,21558.0
2021-11-22,WTI Crude Oil,CL=F,75.75,76.88,76.12,76.75,450842.0
2021-11-23,WTI Crude Oil,CL=F,76.46,78.86,75.3,78.5,487578.0
2021-11-24,WTI Crude Oil,CL=F,78.48,78.95,78.12,78.39,312443.0
2021-10-25,Brent Crude Oil,BZ=F,85.71,86.72,85.44,85.99,40752.0
2021-10-26,Brent Crude Oil,BZ=F,86.03,86.53,85.28,86.4,23874.0
2021-10-27,Brent Crude Oil,BZ=F,86.13,86.27,84.05,84.58,21981.0
2021-10-28,Brent Crude Oil,BZ=F,84.18,84.57,82.31,84.32,6486.0
2021-10-29,Brent Crude Oil,BZ=F,84.19,84.56,84.06,84.38,362.0
2021-11-01,Brent Crude Oil,BZ=F,83.73,85.11,83.03,84.71,35504.0
2021-11-02,Brent Crude Oil,BZ=F,84.42,85.22,83.76,84.72,39149.0
2021-11-03,Brent Crude Oil,BZ=F,84.04,84.18,81.08,81.99,49329.0
2021-11-04,Brent Crude Oil,BZ=F,81.32,84.5,80.19,80.54,70768.0
