Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-10-10,WTI Crude Oil,CL=F,93.48,93.64,90.54,91.13,260430.0
2022-10-11,WTI Crude Oil,CL=F,91.14,91.35,87.91,89.35,295289.0
2022-10-12,WTI Crude Oil,CL=F,88.67,90.07,86.28,87.27,303948.0
2022-10-13,WTI Crude Oil,CL=F,87.08,89.66,85.56,89.11,267171.0
2022-10-14,WTI Crude Oil,CL=F,89.27,89.73,85.2,85.61,216029.0
2022-10-17,WTI Crude Oil,CL=F,85.59,87.12,84.61,85.46,143488.0
2022-10-18,WTI Crude Oil,CL=F,85.7,86.51,82.09,82.82,83685.0
2022-10-19,WTI Crude Oil,CL=F,83.69,86.2,82.59,85.55,38236.0
2022-10-20,WTI Crude Oil,CL=F,85.94,88.17,85.22,85.98,12307.0
2022-10-21,WTI Crude Oil,CL=F,85.07,85.9,83.15,85.14,259938.0
2022-10-24,WTI Crude Oil,CL=F,85.24,85.92,82.63,84.58,238458.0
2022-10-25,WTI Crude Oil,CL=F,84.88,86.03,83.06,85.32,226337.0
2022-10-26,WTI Crude Oil,CL=F,85.07,88.41,84.14,87.91,271474.0
2022-10-27,WTI Crude Oil,CL=F,88.26,89.79,87.33,88.26,273717.0
2022-10-28,WTI Crude Oil,CL=F,88.67,88.76,87.08,87.9,241417.0
2022-10-31,WTI Crude Oil,CL=F,88.39,88.65,85.3,86.53,266337.0
2022-11-01,WTI Crude Oil,CL=F,86.43,89.45,85.92,86.21,257373.0
2022-11-02,WTI Crude Oil,CL=F,88.62,90.36,87.72,88.57,262457.0
2022-11-03,WTI Crude Oil,CL=F,89.35,88.07,87.87,89.35,224728.0
2022-11-04,WTI Crude Oil,CL=F,87.9,92.69,92.4,92.61,328375.0
2022-11-07,WTI Crude Oil,CL=F,91.0,93.74,90.4,91.79,288712.0
2022-10-10,Brent Crude Oil,BZ=F,98.7,98.76,95.62,96.19,23744.0
2022-10-11,Brent Crude Oil,BZ=F,96.15,96.45,93.11,94.29,29551.0
2022-10-12,Brent Crude Oil,BZ=F,93.69,95.17,91.58,92.45,27208.0
2022-10-13,Brent Crude Oil,BZ=F,92.47,94.9,91.09,94.57,30912.0
2022-10-14,Brent Crude Oil,BZ=F,94.75,95.11,91.27,91.63,27392.0
2022-10-17,Brent Crude Oil,BZ=F,91.71,93.23,90.84,91.62,22979.0
2022-10-18,Brent Crude Oil,BZ=F,92.02,92.65,88.77,90.03,38950.0
2022-10-19,Brent Crude Oil,BZ=F,90.79,92.84,89.38,92.41,41724.0
2022-10-20,Brent Crude Oil,BZ=F,92.51,94.77,91.92,92.38,35812.0
2022-10-21,Brent Crude Oil,BZ=F,92.79,93.8,91.02,93.5,24869.0
2022-10-24,Brent Crude Oil,BZ=F,93.61,94.44,91.21,93.26,24317.0
2022-10-25,Brent Crude Oil,BZ=F,93.56,94.37,91.63,93.52,20434.0
2022-10-26,Brent Crude Oil,BZ=F,93.25,96.19,92.04,95.69,13318.0
2022-10-27,Brent Crude Oil,BZ=F,96.16,97.28,95.08,96.96,11302.0
2022-10-28,Brent Crude Oil,BZ=F,96.78,96.89,95.0,95.77,5071.0
2022-10-31,Brent Crude Oil,BZ=F,96.0,96.0,94.32,94.83,377.0
2022-11-01,Brent Crude Oil,BZ=F,92.8,95.55,92.36,94.65,19882.0
2022-11-02,Brent Crude Oil,BZ=F,94.67,96.47,93.99,96.16,26700.0
2022-11-03,Brent Crude Oil,BZ=F,95.66,94.55,94.38,94.67,20460.0
2022-11-04,Brent Crude Oil,BZ=F,94.48,98.69,98.49,98.57,30706.0
2022-11-07,Brent Crude Oil,BZ=F,97.78,99.56,96.7,97.92,21760.0
2022-10-10,Natural Gas,NG=F,6.65,6.9,6.41,6.44,100791.0
2022-10-11,Natural Gas,NG=F,6.51,6.67,6.36,6.6,91290.0
2022-10-12,Natural Gas,NG=F,6.6,6.8,6.4,6.44,100321.0
2022-10-13,Natural Gas,NG=F,6.44,6.78,6.34,6.74,113762.0
2022-10-14,Natural Gas,NG=F,6.68,6.74,6.41,6.45,91655.0
2022-10-17,Natural Gas,NG=F,6.26,6.31,5.91,6.0,124841.0
2022-10-18,Natural Gas,NG=F,5.98,6.1,5.67,5.74,98708.0
2022-10-19,Natural Gas,NG=F,5.69,5.78,5.43,5.46,98854.0
2022-10-20,Natural Gas,NG=F,5.46,5.56,5.25,5.36,98706.0
2022-10-21,Natural Gas,NG=F,5.32,5.38,4.9,4.96,96014.0
2022-10-24,Natural Gas,NG=F,4.97,5.26,4.75,5.2,63050.0
2022-10-25,Natural Gas,NG=F,5.19,5.74,5.12,5.61,36894.0
2022-10-26,Natural Gas,NG=F,5.73,5.75,5.35,5.61,31234.0
2022-10-27,Natural Gas,NG=F,5.7,5.7,4.95,5.19,1553.0
2022-10-28,Natural Gas,NG=F,5.85,5.89,5.55,5.68,82794.0
2022-10-31,Natural Gas,NG=F,5.83,6.4,5.82,6.36,123899.0
2022-11-01,Natural Gas,NG=F,6.27,6.31,5.61,5.71,131064.0
2022-11-02,Natural Gas,NG=F,5.83,6.3,5.79,6.27,100922.0
2022-11-03,Natural Gas,NG=F,6.2,6.22,5.87,5.98,95638.0
2022-11-04,Natural Gas,NG=F,5.94,6.51,5.89,6.4,113629.0
2022-11-07,Natural Gas,NG=F,6.98,7.22,6.57,6.94,161685.0
