Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-03-15,WTI Crude Oil,CL=F,102.28,102.58,93.53,96.44,369225.0
2022-03-16,WTI Crude Oil,CL=F,95.23,99.22,94.07,95.04,271220.0
2022-03-17,WTI Crude Oil,CL=F,95.34,104.24,94.85,102.98,184057.0
2022-03-18,WTI Crude Oil,CL=F,103.62,106.28,102.3,104.7,57288.0
2022-03-21,WTI Crude Oil,CL=F,105.13,112.69,104.08,112.12,39803.0
2022-03-22,WTI Crude Oil,CL=F,112.9,115.01,109.3,111.76,16841.0
2022-03-23,WTI Crude Oil,CL=F,108.85,115.4,108.38,114.93,270946.0
2022-03-24,WTI Crude Oil,CL=F,114.47,116.64,110.61,112.34,293172.0
2022-03-25,WTI Crude Oil,CL=F,111.75,114.12,108.68,113.9,299911.0
2022-03-28,WTI Crude Oil,CL=F,112.92,111.89,102.83,105.96,354375.0
2022-03-29,WTI Crude Oil,CL=F,103.47,107.84,98.44,104.24,371233.0
2022-03-30,WTI Crude Oil,CL=F,105.24,108.75,104.55,107.82,266301.0
2022-03-31,WTI Crude Oil,CL=F,107.45,107.8,99.66,100.28,432263.0
2022-04-01,WTI Crude Oil,CL=F,101.23,101.75,97.78,99.27,305041.0
2022-04-04,WTI Crude Oil,CL=F,98.95,103.94,98.05,103.28,269786.0
2022-04-05,WTI Crude Oil,CL=F,103.66,105.59,99.88,101.96,263168.0
2022-04-06,WTI Crude Oil,CL=F,101.24,104.02,95.73,96.23,342749.0
2022-04-07,WTI Crude Oil,CL=F,97.16,98.82,93.81,96.03,326388.0
2022-04-08,WTI Crude Oil,CL=F,97.17,98.76,95.29,98.26,274803.0
2022-04-11,WTI Crude Oil,CL=F,98.4,98.52,92.93,94.29,276968.0
2022-04-12,WTI Crude Oil,CL=F,95.17,101.35,94.84,100.6,293089.0
2022-04-13,WTI Crude Oil,CL=F,100.91,104.47,99.87,104.25,271093.0
2022-04-14,WTI Crude Oil,CL=F,104.2,107.64,102.12,106.95,211055.0
2022-03-15,Brent Crude Oil,BZ=F,106.0,106.46,97.5,99.91,24733.0
2022-03-16,Brent Crude Oil,BZ=F,99.04,103.68,96.95,98.02,17933.0
2022-03-17,Brent Crude Oil,BZ=F,98.1,107.57,97.88,106.64,14363.0
2022-03-18,Brent Crude Oil,BZ=F,107.24,109.57,105.8,107.93,9584.0
2022-03-21,Brent Crude Oil,BZ=F,107.37,116.73,107.09,115.62,10885.0
2022-03-22,Brent Crude Oil,BZ=F,116.85,119.42,112.77,115.48,11704.0
2022-03-23,Brent Crude Oil,BZ=F,114.74,122.29,114.42,121.6,11080.0
2022-03-24,Brent Crude Oil,BZ=F,121.27,123.7,116.95,119.03,11611.0
2022-03-25,Brent Crude Oil,BZ=F,118.28,120.87,115.21,120.65,12801.0
2022-03-28,Brent Crude Oil,BZ=F,120.31,117.95,109.06,112.48,13740.0
2022-03-29,Brent Crude Oil,BZ=F,109.73,114.71,104.98,110.23,5147.0
2022-03-30,Brent Crude Oil,BZ=F,111.0,114.65,110.9,113.45,1951.0
2022-03-31,Brent Crude Oil,BZ=F,108.71,109.36,107.37,107.91,31.0
2022-04-01,Brent Crude Oil,BZ=F,105.99,106.2,102.37,104.39,16219.0
2022-04-04,Brent Crude Oil,BZ=F,104.25,108.55,102.91,107.53,15925.0
2022-04-05,Brent Crude Oil,BZ=F,108.24,109.85,104.56,106.64,14527.0
2022-04-06,Brent Crude Oil,BZ=F,105.79,108.66,100.54,101.07,19208.0
2022-04-07,Brent Crude Oil,BZ=F,102.15,103.5,98.45,100.58,17331.0
2022-04-08,Brent Crude Oil,BZ=F,101.69,103.25,99.71,102.78,15565.0
2022-04-11,Brent Crude Oil,BZ=F,103.07,103.09,97.62,98.48,21586.0
2022-04-12,Brent Crude Oil,BZ=F,99.25,105.6,98.98,104.64,21239.0
2022-04-13,Brent Crude Oil,BZ=F,104.98,109.0,104.07,108.78,20320.0
2022-04-14,Brent Crude Oil,BZ=F,108.37,112.39,106.64,111.7,15831.0
2022-03-15,Natural Gas,NG=F,4.68,4.68,4.46,4.57,80861.0
2022-03-16,Natural Gas,NG=F,4.62,4.78,4.59,4.75,77335.0
2022-03-17,Natural Gas,NG=F,4.75,5.0,4.69,4.99,89523.0
2022-03-18,Natural Gas,NG=F,4.93,4.96,4.81,4.86,61244.0
2022-03-21,Natural Gas,NG=F,4.91,4.98,4.75,4.9,63531.0
2022-03-22,Natural Gas,NG=F,4.95,5.2,4.88,5.19,108141.0
2022-03-23,Natural Gas,NG=F,5.15,5.33,5.09,5.23,73050.0
2022-03-24,Natural Gas,NG=F,5.12,5.46,5.06,5.4,77146.0
2022-03-25,Natural Gas,NG=F,5.4,5.58,5.34,5.57,27353.0
2022-03-28,Natural Gas,NG=F,5.55,5.65,5.42,5.51,25924.0
2022-03-29,Natural Gas,NG=F,5.45,5.49,5.26,5.34,2145.0
2022-03-30,Natural Gas,NG=F,5.33,5.62,5.27,5.6,112075.0
2022-03-31,Natural Gas,NG=F,5.58,5.83,5.45,5.64,153025.0
2022-04-01,Natural Gas,NG=F,5.63,5.78,5.5,5.72,170804.0
2022-04-04,Natural Gas,NG=F,5.74,5.86,5.65,5.71,129076.0
2022-04-05,Natural Gas,NG=F,5.78,6.2,5.77,6.03,151957.0
2022-04-06,Natural Gas,NG=F,6.08,6.39,6.0,6.03,157158.0
2022-04-07,Natural Gas,NG=F,6.12,6.44,6.0,6.36,176401.0
2022-04-08,Natural Gas,NG=F,6.41,6.54,6.26,6.28,166547.0
2022-04-11,Natural Gas,NG=F,6.39,6.72,6.25,6.64,156986.0
2022-04-12,Natural Gas,NG=F,6.7,6.95,6.6,6.68,212310.0
2022-04-13,Natural Gas,NG=F,6.7,7.09,6.65,7.0,192002.0
2022-04-14,Natural Gas,NG=F,7.05,7.35,6.95,7.3,206395.0
