Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-12-12,Soybeans Future (front month) (January),ZSF3,1483.5,1483.5,1457.75,1460.5,125861.0
2022-12-13,Soybeans Future (front month) (January),ZSF3,1461.25,1487.75,1460.75,1479.75,145783.0
2022-12-14,Soybeans Future (front month) (January),ZSF3,1479.5,1487.0,1468.0,1482.25,112117.0
2022-12-15,Soybeans Future (front month) (January),ZSF3,1481.0,1486.0,1468.0,1473.5,97511.0
2022-12-16,Soybeans Future (front month) (January),ZSF3,1473.5,1486.0,1465.5,1480.0,69325.0
2022-12-19,Soybeans Future (front month) (January),ZSF3,1470.0,1476.0,1460.0,1460.75,101717.0
2022-12-20,Soybeans Future (front month) (January),ZSF3,1461.75,1486.75,1460.25,1478.5,111696.0
2022-12-21,Soybeans Future (front month) (January),ZSF3,1477.0,1489.0,1475.25,1481.0,84786.0
2022-12-22,Soybeans Future (front month) (January),ZSF3,1480.0,1484.0,1463.5,1467.75,75905.0
2022-12-23,Soybeans Future (front month) (January),ZSF3,1468.75,1484.0,1466.25,1479.0,52836.0
2022-12-27,Soybeans Future (front month) (January),ZSF3,1490.0,1516.75,1478.25,1482.25,61925.0
2022-12-28,Soybeans Future (front month) (January),ZSF3,1483.5,1509.75,1482.75,1506.5,42705.0
2022-12-29,Soybeans Future (front month) (January),ZSF3,1504.75,1516.25,1501.25,1508.75,27307.0
2022-12-30,Soybeans Future (front month) (January),ZSF3,1508.0,1532.25,1507.75,1519.25,7092.0
2023-01-03,Soybeans Future (front month) (January),ZSF3,1519.25,1523.25,1485.0,1487.25,2951.0
2023-01-04,Soybeans Future (front month) (January),ZSF3,1491.75,1500.0,1477.25,1478.25,2200.0
2023-01-05,Soybeans Future (front month) (January),ZSF3,1481.25,1481.25,1462.0,1466.75,1169.0
2023-01-06,Soybeans Future (front month) (January),ZSF3,1471.75,1503.25,1471.75,1501.5,2024.0
2023-01-09,Soybeans Future (front month) (January),ZSF3,1506.0,1513.0,1502.0,1503.5,446.0
