Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-02-23,Chicago SRW Wheat Future (front month) (May),ZWK2,849.0,888.75,842.75,884.75,98777.0
2022-02-24,Chicago SRW Wheat Future (front month) (May),ZWK2,891.5,934.75,885.5,934.75,112029.0
2022-02-25,Chicago SRW Wheat Future (front month) (May),ZWK2,930.25,960.75,859.75,859.75,108712.0
2022-02-28,Chicago SRW Wheat Future (front month) (May),ZWK2,930.25,934.75,885.5,934.0,107828.0
2022-03-01,Chicago SRW Wheat Future (front month) (May),ZWK2,934.5,984.0,932.25,984.0,51215.0
2022-03-02,Chicago SRW Wheat Future (front month) (May),ZWK2,1014.0,1059.0,985.25,1059.0,103797.0
2022-03-03,Chicago SRW Wheat Future (front month) (May),ZWK2,1071.5,1134.0,1070.0,1134.0,88004.0
2022-03-04,Chicago SRW Wheat Future (front month) (May),ZWK2,1209.0,1209.0,1209.0,1209.0,35941.0
2022-03-07,Chicago SRW Wheat Future (front month) (May),ZWK2,1294.0,1294.0,1294.0,1294.0,39528.0
2022-03-08,Chicago SRW Wheat Future (front month) (May),ZWK2,1363.5,1363.5,1164.0,1286.5,133198.0
2022-03-09,Chicago SRW Wheat Future (front month) (May),ZWK2,1284.5,1285.0,1201.5,1201.5,55905.0
2022-03-10,Chicago SRW Wheat Future (front month) (May),ZWK2,1151.0,1221.25,1080.0,1087.0,73591.0
2022-03-11,Chicago SRW Wheat Future (front month) (May),ZWK2,1082.0,1126.25,1043.25,1106.5,48921.0
2022-03-14,Chicago SRW Wheat Future (front month) (May),ZWK2,1126.25,1148.75,1064.0,1096.25,38656.0
2022-03-15,Chicago SRW Wheat Future (front month) (May),ZWK2,1106.0,1160.75,1088.25,1154.25,30964.0
2022-03-16,Chicago SRW Wheat Future (front month) (May),ZWK2,1157.25,1159.5,1069.25,1069.25,37914.0
2022-03-17,Chicago SRW Wheat Future (front month) (May),ZWK2,1051.0,1108.25,1031.75,1098.0,31158.0
2022-03-18,Chicago SRW Wheat Future (front month) (May),ZWK2,1095.0,1106.0,1055.75,1063.75,19393.0
2022-03-21,Chicago SRW Wheat Future (front month) (May),ZWK2,1075.0,1148.75,1061.75,1119.25,37035.0
2022-03-22,Chicago SRW Wheat Future (front month) (May),ZWK2,1119.25,1169.25,1102.25,1118.25,29006.0
2022-03-23,Chicago SRW Wheat Future (front month) (May),ZWK2,1119.25,1139.0,1101.0,1105.75,24464.0
2022-03-24,Chicago SRW Wheat Future (front month) (May),ZWK2,1105.75,1115.0,1080.5,1085.75,22420.0
2022-03-25,Chicago SRW Wheat Future (front month) (May),ZWK2,1089.5,1109.0,1064.75,1102.25,27912.0
2022-02-23,Chicago SRW Wheat Future (second month) (July),ZWN2,845.0,882.5,839.0,878.75,38373.0
2022-02-24,Chicago SRW Wheat Future (second month) (July),ZWN2,882.0,928.75,879.5,925.0,67475.0
2022-02-25,Chicago SRW Wheat Future (second month) (July),ZWN2,918.0,942.75,850.0,850.0,48090.0
2022-02-28,Chicago SRW Wheat Future (second month) (July),ZWN2,917.0,924.5,879.5,917.0,52431.0
