Date,Product Name,Symbol,Open,High,Low,Close,Volume
2022-12-12,Chicago SRW Wheat Future (front month) (March),ZWH3,741.75,760.0,738.25,754.75,49826.0
2022-12-13,Chicago SRW Wheat Future (front month) (March),ZWH3,756.5,769.25,749.75,750.75,49908.0
2022-12-14,Chicago SRW Wheat Future (front month) (March),ZWH3,750.0,751.75,737.75,749.25,41587.0
2022-12-15,Chicago SRW Wheat Future (front month) (March),ZWH3,749.75,767.0,745.0,757.25,51207.0
2022-12-16,Chicago SRW Wheat Future (front month) (March),ZWH3,758.25,764.25,750.75,753.5,32613.0
2022-12-19,Chicago SRW Wheat Future (front month) (March),ZWH3,755.0,759.75,738.75,748.5,39778.0
2022-12-20,Chicago SRW Wheat Future (front month) (March),ZWH3,747.25,761.5,744.75,750.5,38339.0
2022-12-21,Chicago SRW Wheat Future (front month) (March),ZWH3,750.0,774.5,748.75,767.75,52904.0
2022-12-22,Chicago SRW Wheat Future (front month) (March),ZWH3,766.75,777.0,758.0,762.25,34649.0
2022-12-23,Chicago SRW Wheat Future (front month) (March),ZWH3,762.0,778.0,758.0,776.0,25952.0
2022-12-27,Chicago SRW Wheat Future (front month) (March),ZWH3,781.25,784.5,769.0,774.5,28358.0
2022-12-28,Chicago SRW Wheat Future (front month) (March),ZWH3,774.5,787.5,770.75,785.5,33179.0
2022-12-29,Chicago SRW Wheat Future (front month) (March),ZWH3,785.0,786.5,765.5,774.0,35941.0
2022-12-30,Chicago SRW Wheat Future (front month) (March),ZWH3,775.5,799.0,771.5,792.0,34784.0
2023-01-03,Chicago SRW Wheat Future (front month) (March),ZWH3,786.0,794.5,769.75,775.5,50138.0
2023-01-04,Chicago SRW Wheat Future (front month) (March),ZWH3,780.5,780.5,744.25,745.5,51975.0
2023-01-05,Chicago SRW Wheat Future (front month) (March),ZWH3,746.0,752.0,736.0,746.75,36793.0
2023-01-06,Chicago SRW Wheat Future (front month) (March),ZWH3,748.5,756.75,742.5,743.5,28671.0
2023-01-09,Chicago SRW Wheat Future (front month) (March),ZWH3,748.0,758.0,740.25,741.5,45486.0
2023-01-10,Chicago SRW Wheat Future (front month) (March),ZWH3,741.25,742.5,720.5,731.0,59339.0
2022-12-12,Chicago SRW Wheat Future (second month) (May),ZWK3,752.25,769.75,748.75,764.0,13068.0
2022-12-13,Chicago SRW Wheat Future (second month) (May),ZWK3,766.5,778.0,760.0,761.0,15418.0
2022-12-14,Chicago SRW Wheat Future (second month) (May),ZWK3,760.25,762.25,748.5,758.75,10795.0
2022-12-15,Chicago SRW Wheat Future (second month) (May),ZWK3,758.5,776.0,754.75,766.0,12549.0
2022-12-16,Chicago SRW Wheat Future (second month) (May),ZWK3,766.5,772.0,759.5,761.0,12319.0
2022-12-19,Chicago SRW Wheat Future (second month) (May),ZWK3,761.75,767.75,747.25,756.75,13677.0
2022-12-20,Chicago SRW Wheat Future (second month) (May),ZWK3,756.5,768.75,753.0,757.5,13097.0
2022-12-21,Chicago SRW Wheat Future (second month) (May),ZWK3,756.75,780.75,755.75,775.25,16657.0
2022-12-22,Chicago SRW Wheat Future (second month) (May),ZWK3,774.25,784.5,766.25,769.75,10829.0
2022-12-23,Chicago SRW Wheat Future (second month) (May),ZWK3,768.5,784.75,767.0,782.5,7357.0
2022-12-27,Chicago SRW Wheat Future (second month) (May),ZWK3,787.0,790.25,776.0,781.0,5498.0
2022-12-28,Chicago SRW Wheat Future (second month) (May),ZWK3,782.0,794.0,778.25,792.75,8547.0
2022-12-29,Chicago SRW Wheat Future (second month) (May),ZWK3,792.25,793.5,772.5,781.0,7802.0
2022-12-30,Chicago SRW Wheat Future (second month) (May),ZWK3,781.75,805.0,778.0,798.75,8868.0
2023-01-03,Chicago SRW Wheat Future (second month) (May),ZWK3,793.75,800.5,776.75,782.75,13042.0
2023-01-04,Chicago SRW Wheat Future (second month) (May),ZWK3,786.75,787.5,752.75,753.75,14983.0
2023-01-05,Chicago SRW Wheat Future (second month) (May),ZWK3,754.5,760.25,744.5,754.75,10767.0
2023-01-06,Chicago SRW Wheat Future (second month) (May),ZWK3,756.75,764.25,750.5,751.5,8682.0
2023-01-09,Chicago SRW Wheat Future (second month) (May),ZWK3,755.5,765.25,748.25,750.0,13308.0
2023-01-10,Chicago SRW Wheat Future (second month) (May),ZWK3,749.0,751.0,729.5,739.5,17409.0
2022-12-12,Chicago SRW Wheat Future (third month) (July),ZWN3,757.25,773.75,753.75,767.75,8469.0
2022-12-13,Chicago SRW Wheat Future (third month) (July),ZWN3,770.25,782.0,764.75,765.75,14711.0
2022-12-14,Chicago SRW Wheat Future (third month) (July),ZWN3,766.5,767.5,753.5,764.0,5813.0
2022-12-15,Chicago SRW Wheat Future (third month) (July),ZWN3,763.0,780.25,759.25,770.5,6882.0
2022-12-16,Chicago SRW Wheat Future (third month) (July),ZWN3,770.0,776.0,764.0,765.5,7492.0
2022-12-19,Chicago SRW Wheat Future (third month) (July),ZWN3,766.25,772.5,752.75,761.75,7485.0
2022-12-20,Chicago SRW Wheat Future (third month) (July),ZWN3,762.5,773.0,757.75,762.0,7748.0
2022-12-21,Chicago SRW Wheat Future (third month) (July),ZWN3,760.25,784.5,760.0,779.5,8222.0
2022-12-22,Chicago SRW Wheat Future (third month) (July),ZWN3,779.75,788.25,771.25,774.75,5900.0
2022-12-23,Chicago SRW Wheat Future (third month) (July),ZWN3,772.25,789.0,771.25,786.25,4015.0
